"","s34_22","s26_20","s26_21","s26_7","s30_28","s30_5","s30_7","s26_5","s30_21","s34_18","s34_7","s30_18","s34_11","s34_23","s26_24","s30_11","s30_8","s34_26","s26_15","s30_3","s30_22","s34_1","document","s30_25","s34_3","s30_24","s26_6","s26_19","s34_6","s30_20","s30_27","s30_16","s34_27","s30_19","s34_16","s26_18","s34_12","s26_23","s26_26","s34_15","s30_12","s34_28","s26_11","s30_14","s34_25","s26_1","s34_8","s30_1","s34_2","s34_32","s34_33","s34_34","s30_23","s26_12","s26_27","s30_30","s26_13","s34_19","s30_13","s30_2","s26_14","s34_24","s30_6","s34_21","s26_10","s26_16","s34_14","s30_10","s26_25","s26_3","s30_29","s34_10","s26_4","s34_4","s30_4","s34_13","s26_17","s30_17","s34_30","s26_8","s34_17","s34_29","s34_31","s26_22","s30_15","s34_20","s26_2","s30_26","s34_5","s34_9","s26_9","s30_9"
"s34_22",1,0.685771526999892,0.784824566016757,0.805105800444914,0.663597491552884,0.525449004993927,0.811662183553343,0.119593253097139,0.2299696411323,0.57483408011866,0.46364665761185,-0.281726275117826,-0.214019398309484,-0.181514696356748,-0.273073610878858,-0.174253076454478,-0.233081540875085,-0.290527351132624,-0.125513885899776,-0.206312780898694,0.16858995724541,-0.198170572285746,-0.0178467520135538,-0.255535003723364,-0.213230477068476,-0.288689921440792,-0.292235802323208,-0.256530972505222,-0.345393174751227,-0.270451417540005,-0.343192952773555,-0.34895013110383,-0.353623971757352,-0.242743846810412,-0.147849165568411,-0.220117337128201,-0.363100980148353,-0.10128098868654,-0.105275072883039,-0.190717876392781,-0.14570941814831,-0.287454082217617,-0.224680416940099,-0.223680128390457,-0.171772070898392,-0.161385613270406,-0.0644187122330485,-0.0709101073492047,-0.23920224451508,-0.194391941732026,-0.240388154502746,-0.46790615408576,-0.151199087121014,-0.247258642125128,-0.310490165597333,-0.311588584063122,-0.278046790092908,-0.236562612864882,-0.170626555337022,-0.0909810426711965,0.0153755866264156,0.107385472454957,0.0682499440385627,0.137748762044528,-0.226069961435206,-0.0850259150104003,-0.109938472908954,-0.0436018693273595,0.0846143050952665,-0.186003756188801,-0.127806465667457,-0.166470761353017,-0.249959002669873,-0.259472513613202,-0.228907676326628,-0.207070681849404,0.552204559812129,0.153703085420343,0.311853375833474,0.052395593611989,0.0286363818489128,0.0561652595225947,0.317872249397524,0.310334906847326,0.178199148058138,-0.144400667338595,-0.0419193026219564,-0.0978373442068702,-0.0956714496924929,0.00354645614550995,0.27505069123049,0.223015429937769
"s26_20",0.685771526999892,1,0.818943625204458,0.900314495197109,0.620559766779865,0.645123948329195,0.717365348742905,0.29907643878309,0.353184531375141,0.675965741916058,0.456629108154556,-0.22419874469075,-0.126521063521082,-0.0950195970068533,-0.162573878372581,-0.0331426250037231,-0.132460728313162,-0.130386493725045,-0.0770977918022374,-0.189783367677858,0.0679447818592495,-0.109842015553633,-0.000885450845381441,-0.239343079176786,-0.124530841513969,-0.114903797454976,-0.150439539738607,-0.130114088893455,-0.132249679142072,-0.112984154369737,-0.197539055021739,-0.251842466231468,-0.205762761235152,-0.137917276408968,-0.043464940215747,-0.118993813658321,-0.118594714782185,0.0128174232068656,-0.014515917816173,0.0779174427736802,0.117379832116699,0.0684484039481928,-0.276976406771963,-0.163468975619436,-0.120045130112913,-0.260824205056291,-0.0552973529351157,-0.120613579733235,-0.151777256375555,-0.123648850395072,-0.165339894135037,-0.259990047316153,-0.158281142020119,-0.209521710840277,-0.307354318377307,-0.24477958755486,-0.326773958990945,-0.170693864067079,-0.146149483967914,-0.0918584969706536,-0.0913177757465198,-0.0472779084550389,-0.0867309908137934,-0.0612977668159895,-0.340137509200283,-0.239388142603873,-0.248765672058807,-0.134281676646441,-0.0623062762406523,-0.331192416944442,-0.280479562002345,-0.251111592089809,-0.360603926893304,-0.341368565246427,-0.264530570523053,-0.234100970280156,0.449349221888294,-0.0116857896325937,0.0602445951378232,-0.0381743249261965,-0.0665184950951561,-0.0325927468616457,0.175487770346398,0.198940998580814,0.122109116437828,-0.000443185602069902,-0.0289047132864619,-0.125526089681881,-0.0473243388920255,-0.0496009393626077,0.286442686327423,0.173828659963935
"s26_21",0.784824566016757,0.818943625204458,1,0.905614307410787,0.679328462181951,0.4731870401484,0.671786896238256,0.115322876669233,0.21177842269818,0.540441530781247,0.399526289694847,-0.261302805624082,-0.183532688002812,-0.165986857795069,-0.304346953581044,-0.137208792773726,-0.179501758393418,-0.239438356221169,-0.145833345044443,-0.224870905178148,0.155921937035785,-0.163302021916183,-0.0555210395285142,-0.251176110949704,-0.181766764433783,-0.277337918679625,-0.29716460683684,-0.253938172244169,-0.271911504073966,-0.215175727165642,-0.301593096766898,-0.291042225717929,-0.272161113705888,-0.219265849629573,-0.0853812244097681,-0.249126474683976,-0.254026732726628,-0.0496676330336344,-0.11448365278801,-0.0457121693887894,-0.0396259424282901,-0.113476892586708,-0.282946761323151,-0.172789815611026,-0.133098290652639,-0.186736729879193,-0.0108071695902307,-0.0675132843055514,-0.17825107086353,-0.124736584493494,-0.173402154335546,-0.341805135305044,-0.117080280454377,-0.235936727496954,-0.323144424310046,-0.21841545500797,-0.297494130931319,-0.161871644264978,-0.139507706750756,-0.0176066417120945,-0.128854347412944,-0.0499420650027962,-0.0909292387768754,-0.0135729213026359,-0.252128699584427,-0.0974413849094997,-0.124042775901751,-0.000189706837164744,0.0935619374777728,-0.224108455226843,-0.16224436435204,-0.198650426452124,-0.330515622797234,-0.281440499130263,-0.222701428728805,-0.184398411809733,0.68606581812845,0.204199991812909,0.305750200539883,0.151224199248883,0.0599351575206035,0.092829264454434,0.365796492615753,0.418332815117758,0.307399188957009,-0.0999265905551499,-0.0526029626005847,-0.13939479717282,-0.0787234433122673,-0.0507960304593098,0.287326571680299,0.186901117788958
"s26_7",0.805105800444914,0.900314495197109,0.905614307410787,1,0.652294749082483,0.637538972283844,0.798368811874416,0.249880388438827,0.312553320838816,0.638906935891244,0.498209176103151,-0.268875319608302,-0.161333987539191,-0.139812125392825,-0.261740682023672,-0.104003594830718,-0.185390525038389,-0.186990104262013,-0.0653016969284387,-0.169613149195097,0.0820298766238338,-0.172965021246251,0.00843792723909347,-0.26454687229769,-0.152752949137763,-0.230203980419733,-0.316442436247393,-0.272380730136564,-0.275714211208849,-0.244244054974836,-0.325867105265384,-0.346970180620727,-0.322975649787309,-0.22195217029578,-0.095663421845946,-0.23979570077014,-0.242313582429076,-0.0841760111279308,-0.116030415090057,-0.0734638653301123,-0.0125023887361804,-0.068635770054176,-0.285732370039423,-0.229500398445484,-0.162206029480263,-0.243153590298202,-0.0411306362504049,-0.102128937104679,-0.213571402983997,-0.168649820436195,-0.221743644445916,-0.383530302214196,-0.168144068083997,-0.324634416851706,-0.406060097876173,-0.352488029724591,-0.375722849796773,-0.221465690774005,-0.168588689706926,-0.0983560647167546,-0.0010878656906979,0.0580436660154446,-0.00266363794821153,0.0366696229947809,-0.329589207110473,-0.174595045238983,-0.198083002020771,-0.0607339480184109,0.032802575759038,-0.287051771163694,-0.228975289454976,-0.223753703194064,-0.365214824260246,-0.309135361946502,-0.267204297566827,-0.230288553768631,0.601909694060318,0.124477344401976,0.21845602791061,0.045805236942599,0.00575336989562216,0.00390623874444684,0.265503997420902,0.27457042068753,0.173001749682004,-0.0823823824048177,-0.0368022785213631,-0.131586267263937,-0.00102758057728483,0.0476869066532523,0.444894731804225,0.278523768788504
"s30_28",0.663597491552884,0.620559766779865,0.679328462181951,0.652294749082483,1,0.636376593142157,0.792416961302332,0.219229267030021,0.449575965332251,0.632592214349334,0.461769841614141,-0.271699040490092,-0.150547746111675,-0.151779932341467,-0.168603802880309,-0.0976791532844974,-0.169049397370374,-0.228274119052113,-0.145553669473149,-0.296653548584872,0.132597357968111,-0.121480528211011,0.0157183756524486,-0.334422360590267,-0.193963179125292,-0.160128737849744,-0.133164719552187,-0.142701674688384,-0.196593328114267,-0.171574691116177,-0.240782052473802,-0.252747958993342,-0.186477540298743,-0.200931303440122,-0.100096335133852,-0.134486873283339,-0.190705813222187,0.0229128206952923,0.0580529725275694,0.00240389967108321,0.111003348611459,-0.0163003226291,-0.0622141384051211,-0.257391498930497,-0.177024018767832,-0.142289124613397,-0.00280589767919278,-0.141103935334885,-0.143344739084859,-0.0761984345901159,-0.0905746045444251,-0.213402529437199,-0.184053646745367,-0.13034661359141,-0.162671624740331,-0.21722596654654,-0.155277756442638,-0.120001111072658,-0.184447851668882,0.0295278169482828,-0.105223445353134,-0.111943784188549,-0.144024741685618,-0.0541178737371549,-0.228407746207035,-0.127526836821008,-0.0527877671510504,-0.079210456981791,-0.00102687574715143,-0.218721658790431,-0.235963882820045,-0.165477069749918,-0.242736042973433,-0.288009841265458,-0.301776798737051,-0.169739888759031,0.376576365776705,0.0365815832970276,0.128128710045749,0.0607281390219903,-0.0459183817541643,0.0149547866084048,0.228113171901939,0.195642394488023,0.226783211731818,-0.0890267731385046,-0.146445748679407,-0.242551285005343,-0.00847231858177576,0.0667184615448846,0.327588475019772,0.352235303229276
"s30_5",0.525449004993927,0.645123948329195,0.4731870401484,0.637538972283844,0.636376593142157,1,0.821271779365397,0.28937628452243,0.41792479888191,0.608600534760733,0.486585457730296,-0.253966313581535,-0.0759705264763975,-0.0760360383265398,-0.106063456325555,-0.0557470971758194,-0.17000232749016,-0.133983681755857,0.0143519764361387,-0.153029753858158,0.000202150554517848,-0.112417600642739,0.0349430437829133,-0.274489848709541,-0.122461235612893,-0.140187571270561,-0.184836746096704,-0.179193216704767,-0.210897354444747,-0.22573690147798,-0.293483569864357,-0.335421641178548,-0.241589215094266,-0.186916536473921,-0.0754710730951434,-0.116185328939692,-0.148108908793935,-0.0646639254034073,-0.0662291595604351,-0.0771421668741533,0.037159013574618,-0.0642300632105587,-0.0897561604168218,-0.244737061555236,-0.111920774180224,-0.185289858242251,-0.0421145448395206,-0.134274984595551,-0.127348246721859,-0.15516192419515,-0.161262362726691,-0.250736355493278,-0.206276888926718,-0.225100839972586,-0.288381775762151,-0.404952985238073,-0.259684165472105,-0.179654389237384,-0.131861088315536,-0.177283431862065,0.0549630174924117,0.00278285133289962,-0.0702973374993244,-0.0623790383318608,-0.239736364423991,-0.167799831495394,-0.149231233023715,-0.135650804727954,-0.0708584070553793,-0.223519525711409,-0.276104740236376,-0.154802411758603,-0.230408142233428,-0.224320003439724,-0.272361832410262,-0.146479014813822,0.20284376494885,-0.0482722520271721,-9.78891562405608e-05,-0.0538631073333717,-0.0771173658640683,-0.0621664505541961,0.142966784204032,0.0601424891585667,0.0167760261708398,-0.0373538664681669,-0.0220055825752977,-0.118150599158891,0.261803903634419,0.21647697307909,0.451224922596692,0.381454551479718
"s30_7",0.811662183553343,0.717365348742905,0.671786896238256,0.798368811874416,0.792416961302332,0.821271779365397,1,0.244542438114468,0.368941459878934,0.636262231721916,0.480542612178201,-0.32845380127995,-0.15554350805456,-0.149191238483474,-0.210329234663218,-0.140681983392125,-0.260004870540116,-0.229596078816004,-0.0672195718505022,-0.199574785149382,0.075786392543898,-0.17163946704002,0.0168617941041559,-0.325499093507848,-0.188503891348586,-0.265596870493895,-0.270112192458012,-0.251094899290936,-0.314162537548324,-0.311730720240826,-0.391132537788321,-0.41795511551612,-0.31812617491682,-0.284185715796358,-0.147421655438942,-0.210219299825141,-0.291588559803395,-0.102274223641542,-0.104348398997375,-0.151766215911096,-0.0970497875467242,-0.176351741825163,-0.154697011646796,-0.319797691146577,-0.185735610510505,-0.194712575383105,-0.0799870412284216,-0.116471123508166,-0.211621910075096,-0.193691522286721,-0.192290231405192,-0.397989449608987,-0.234134753787525,-0.264711667284328,-0.330857390165833,-0.434045963880187,-0.300766802474201,-0.223996294484373,-0.212313950367887,-0.141377779922248,0.0903612174101396,0.114705635082742,0.0726823403633214,0.0999532289273118,-0.250999362869822,-0.122577520543953,-0.106432596035495,-0.0842484880083884,0.0246058956188232,-0.21246027625453,-0.209925867704859,-0.155026980849213,-0.251956422502496,-0.245599951532106,-0.304051328320133,-0.181257408480978,0.390410569386622,0.0993532960595876,0.173768635683884,0.000509724073608766,-0.0181609704065086,-0.00317242920012247,0.231265001408568,0.151543693240053,0.124158690883377,-0.131727380616347,-0.0653120296157046,-0.154393998403315,0.0501267180405638,0.144966868960493,0.418749808998572,0.376421517322717
"s26_5",0.119593253097139,0.29907643878309,0.115322876669233,0.249880388438827,0.219229267030021,0.28937628452243,0.244542438114468,1,0.315533504105206,0.296644918560307,0.280297224084006,-0.019008323502421,0.0197946029271845,-0.0378900238899535,0.113423771602109,0.0893791475842452,-0.0397616961023941,-0.00846256486953471,-0.111586671380927,-0.109729381561541,-0.101779715482345,-0.0223216702782209,0.148027888891379,-0.13088446641113,-0.0830427017600295,0.335846888755931,0.199254586567323,0.0441924992382423,0.025009809402772,0.0517004053279138,0.0316347054493796,-0.030794407617362,-0.0568471373909378,0.0395106584837783,0.00728838935831584,0.0594625979867986,0.0999252644807263,0.0514664342646826,0.0972044702295423,0.0846875381378552,0.317226041815444,0.314883847267337,0.119725119139818,-0.0109163382246242,0.018997513962944,-0.215984678513219,-0.0214767614184917,-0.102996895047363,-0.00796085483022341,-0.0658259425084615,-0.0990038905570456,0.0376000410406079,-0.119447183758049,0.0165433982109972,-0.0377329616527351,-0.148747058732372,-0.116274600035037,-0.0710273611208519,0.0619795168421543,-0.0620744136825611,0.0553204332695063,0.0734885957449457,-0.0463399100666364,-0.0604794121566048,-0.150780943490941,-0.314354331413164,-0.201586141927146,-0.236546427549312,-0.175477695113493,-0.255801925425854,-0.249283859914562,-0.174468687246153,-0.162964560985079,-0.14437655732446,-0.123375638875763,-0.140416414288596,-0.124847136312957,-0.231310927501031,-0.19344520910256,-0.141886029059858,-0.177464997603736,-0.162377062148203,-0.0192202678000115,-0.147047671187857,-0.130022885549045,0.115433413763503,0.107307396045509,0.00866034572788671,0.259429338550058,0.171041220568569,0.32191038409719,0.170058299730949
"s30_21",0.2299696411323,0.353184531375141,0.21177842269818,0.312553320838816,0.449575965332251,0.41792479888191,0.368941459878934,0.315533504105206,1,0.640591812817141,0.505014107162475,0.0316635348779304,0.068079626780161,0.116964632014856,0.276255189499058,0.260665289099602,0.117785849905743,0.0998132608324865,0.154007637454294,0.0127894008788822,0.0772828030550216,0.0666362195221523,0.0190376278382718,-0.144748746378863,0.000116512102166615,0.212399534159484,0.0664069713453825,0.00476238881991705,0.0265677548157215,0.0175426019974442,0.0607424716862847,0.0493845371521906,-0.0291298083701393,0.236558539515286,0.146760008385626,0.198820646319361,0.19000335805288,0.228069896855928,0.467586543043457,0.130148574384311,0.459381898910039,0.325150251042526,-0.00704800323267508,-0.19157691240007,-0.105914704012919,-0.167461384020982,-0.0233683115548003,-0.159345242586789,0.00354031114362193,-0.0515749271913725,0.00727419620060034,0.0462463769587736,-0.134004726367251,-0.0222865293369222,0.0418703335586299,0.00155614030186057,-0.0519724940011487,-0.101382388442106,-0.0457100633588682,-0.0527595111509711,-0.296133900035907,-0.271113090426328,-0.395337711121715,-0.354929829262743,-0.292896472049236,-0.357521843235166,-0.294850539965697,-0.268523466544909,-0.284120116301917,-0.330905007516477,-0.50818055714214,-0.310942160011367,-0.330290815100107,-0.379897142369067,-0.290654101252039,-0.177735365708516,0.0654414660595337,-0.320965037658094,-0.224817905141642,-0.128645597660231,-0.21232148150889,-0.167062860387308,0.00749380526030555,-0.0369824981064991,-0.00544471170635208,0.118002195058299,-0.0754449573183375,-0.19687341032627,0.115129589998372,0.0613628572940936,0.209329990655273,0.234900882647775
"s34_18",0.57483408011866,0.675965741916058,0.540441530781247,0.638906935891244,0.632592214349334,0.608600534760733,0.636262231721916,0.296644918560307,0.640591812817141,1,0.671057247121963,-0.103293042267116,-0.0196118538542498,0.0520620149502323,0.0562308106653048,0.0594175639425396,-0.0576869074671888,-0.0736716389746275,-0.0182424110608867,-0.153797235353168,0.0757703796637166,-0.0329932791120001,0.016704352174185,-0.266097817129002,-0.10271488920977,-0.0468551626557402,-0.0573536796333648,-0.111298813264727,-0.137203609673108,-0.0852387202606582,-0.139865048145557,-0.153780095512705,-0.162577942761574,-0.00571729060025734,0.0506806621913439,0.0544863990685706,0.0282905507382857,0.219727205526735,0.330449214636631,0.0973233189807751,0.285676472847043,0.237824591013612,-0.200543188793223,-0.209129244498656,-0.210049499298024,-0.166650543668299,-0.0254188214056567,-0.116714313172833,-0.0404561331457989,-0.0675080134851738,-0.0435426078980724,-0.156372539027711,-0.130696081125901,-0.116920242353604,-0.0627465386743213,-0.151463656492981,-0.128043750871847,-0.148665174583824,-0.0925204811833398,-0.0183180956860354,-0.200016653469727,-0.204191590046819,-0.221716629435283,-0.224868212405363,-0.31809828651822,-0.281120747187663,-0.330094673746361,-0.197721135534074,-0.156017328479793,-0.350188250658236,-0.371737681397617,-0.322845885619892,-0.36417583204707,-0.501056526610701,-0.27678032858824,-0.247307034294249,0.259415469770098,-0.143579898161656,-0.121065858682314,-0.0719166216883249,-0.208394793937182,-0.127666587641026,0.116887404093839,0.0925520482235208,0.0546712811948959,0.0406058422297713,-0.0977451419361621,-0.184987308268137,-0.00083482171832274,-0.00374057507974894,0.327869216790863,0.268972829622823
