"","CaregiverID","n"
"1","R3ID02478",2
"2","R3ID02479",2
"3","R3ID02480",2
"4","R3ID02481",2
"5","R3ID02482",2
"6","R3ID02483",2
"7","R3ID02484",2
"8","R3ID02485",2
"9","R3ID02486",2
"10","R3ID02487",2
"11","R3ID02488",2
"12","R3ID02489",2
"13","R3ID02490",2
"14","R3ID02491",2
"15","R3ID02492",2
"16","R3ID02493",2
"17","R3ID02494",2
"18","R3ID02495",2
"19","R3ID02496",2
"20","R3ID02497",2
"21","R3ID02498",2
"22","R3ID02499",2
"23","R3ID02500",2
"24","R3ID02501",2
"25","R3ID02502",2
"26","R3ID02503",2
"27","R3ID02504",2
"28","R3ID02505",2
"29","R3ID02506",2
"30","R3ID02507",2
"31","R3ID02508",2
"32","R3ID02509",2
"33","R3ID02510",2
"34","R3ID02511",2
"35","R3ID02512",2
"36","R3ID02513",2
"37","R3ID02514",2
"38","R3ID02515",2
"39","R3ID02516",2
"40","R3ID02517",2
"41","R3ID02518",2
"42","R3ID02519",2
"43","R3ID02520",2
"44","R3ID02521",2
"45","R3ID02522",2
"46","R3ID02523",2
"47","R3ID02524",2
"48","R3ID02525",2
"49","R3ID02526",2
"50","R3ID02527",2
"51","R3ID02528",2
"52","R3ID02529",2
"53","R3ID02530",2
"54","R3ID02531",2
"55","R3ID02532",2
"56","R3ID02533",2
"57","R3ID02534",2
"58","R3ID02535",2
"59","R3ID02536",2
"60","R3ID02537",2
"61","R3ID02538",2
"62","R3ID02539",2
"63","R3ID02540",2
"64","R3ID02541",2
"65","R3ID02542",2
"66","R3ID02543",2
"67","R3ID02544",2
"68","R3ID02545",2
"69","R3ID02546",2
"70","R3ID02547",2
"71","R3ID02548",2
"72","R3ID02549",2
"73","R3ID02550",2
"74","R3ID02551",2
"75","R3ID02552",2
"76","R3ID02553",2
"77","R3ID02554",2
"78","R3ID02555",2
"79","R3ID02556",2
"80","R3ID02557",2
"81","R3ID02558",2
"82","R3ID02559",2
"83","R3ID02560",2
"84","R3ID02561",2
"85","R3ID02562",2
"86","R3ID02563",2
"87","R3ID02564",2
"88","R3ID02565",2
"89","R3ID02566",2
"90","R3ID02567",2
"91","R3ID02568",2
"92","R3ID02569",2
"93","R3ID02570",2
"94","R3ID02571",2
"95","R3ID02572",2
"96","R3ID02573",2
"97","R3ID02574",2
"98","R3ID02575",2
"99","R3ID02576",2
"100","R3ID02577",2
"101","R3ID02578",2
"102","R3ID02579",2
"103","R3ID02580",2
"104","R3ID02581",2
"105","R3ID02582",2
"106","R3ID02583",2
"107","R3ID02584",2
"108","R3ID02585",2
"109","R3ID02586",2
"110","R3ID02587",2
"111","R3ID02588",2
"112","R3ID02589",2
"113","R3ID02590",2
"114","R3ID02591",2
"115","R3ID02592",2
"116","R3ID02593",2
"117","R3ID02594",2
"118","R3ID02595",2
"119","R3ID02596",2
"120","R3ID02597",2
"121","R3ID02598",2
"122","R3ID02599",2
"123","R3ID02600",2
"124","R3ID02601",2
"125","R3ID02602",2
"126","R3ID02603",2
"127","R3ID02604",2
"128","R3ID02605",2
"129","R3ID02606",2
"130","R3ID02607",2
"131","R3ID02608",2
"132","R3ID02609",2
"133","R3ID02610",2
"134","R3ID02611",2
"135","R3ID02612",2
"136","R3ID02613",2
"137","R3ID02614",2
"138","R3ID02615",2
"139","R3ID02616",2
"140","R3ID02617",2
"141","R3ID02618",2
"142","R3ID02619",2
"143","R3ID02620",2
"144","R3ID02621",2
"145","R3ID02622",2
"146","R3ID02623",2
"147","R3ID02624",2
"148","R3ID02625",2
"149","R3ID02626",2
"150","R3ID02627",2
"151","R3ID02628",2
"152","R3ID02629",2
"153","R3ID02630",2
"154","R3ID02631",2
"155","R3ID02632",2
"156","R3ID02633",2
"157","R3ID02634",2
"158","R3ID02635",2
"159","R3ID02636",2
"160","R3ID02637",2
"161","R3ID02638",2
"162","R3ID02639",2
"163","R3ID02640",2
"164","R3ID02641",2
"165","R3ID02642",2
"166","R3ID02643",2
"167","R3ID02644",2
"168","R3ID02645",2
"169","R3ID02646",2
"170","R3ID02647",2
"171","R3ID02648",2
"172","R3ID02649",2
"173","R3ID02650",2
"174","R3ID02651",2
"175","R3ID02652",2
"176","R3ID02653",2
"177","R3ID02654",2
"178","R3ID02655",2
"179","R3ID02656",2
"180","R3ID02657",2
"181","R3ID02658",2
"182","R3ID02659",2
"183","R3ID02660",2
"184","R3ID02661",2
"185","R3ID02662",2
"186","R3ID02663",2
"187","R3ID02664",2
"188","R3ID02665",2
"189","R3ID02666",2
"190","R3ID02667",2
"191","R3ID02668",2
"192","R3ID02669",2
"193","R3ID02670",2
"194","R3ID02671",2
"195","R3ID02672",2
"196","R3ID02673",2
