"","Week","black","problems"
"1",1,"Black/African American",38.89
"2",1,"Entire Sample",44.91
"3",2,"Black/African American",37.7
"4",2,"Entire Sample",43.81
"5",3,"Black/African American",36.52
"6",3,"Entire Sample",42.71
"7",4,"Black/African American",35.34
"8",4,"Entire Sample",41.62
"9",5,"Black/African American",34.15
"10",5,"Entire Sample",40.52
"11",6,"Black/African American",32.97
"12",6,"Entire Sample",39.42
"13",7,"Black/African American",33.55
"14",7,"Entire Sample",39.05
"15",8,"Black/African American",34.13
"16",8,"Entire Sample",38.68
"17",9,"Black/African American",34.71
"18",9,"Entire Sample",38.3
"19",10,"Black/African American",35.29
"20",10,"Entire Sample",37.93
