"","Week","black","problems"
"1",1,"Black/African American",39.89
"2",1,"Entire Sample",42.46
"3",2,"Black/African American",37.64
"4",2,"Entire Sample",41.39
"5",3,"Black/African American",36.11
"6",3,"Entire Sample",38.55
"7",4,"Black/African American",35.59
"8",4,"Entire Sample",38.03
"9",5,"Black/African American",26.89
"10",5,"Entire Sample",38.83
"11",6,"Black/African American",24.68
"12",6,"Entire Sample",37.24
"13",7,"Black/African American",32.56
"14",7,"Entire Sample",37.31
"15",8,"Black/African American",30.56
"16",8,"Entire Sample",35.67
"17",9,"Black/African American",36.62
"18",9,"Entire Sample",39.77
"19",10,"Black/African American",33.02
"20",10,"Entire Sample",36.29
