"","Week","black","problems"
"1",1,"Black/African American",54.46
"2",1,"Entire Sample",59.03
"3",2,"Black/African American",53.81
"4",2,"Entire Sample",58.17
"5",3,"Black/African American",53.17
"6",3,"Entire Sample",57.31
"7",4,"Black/African American",52.52
"8",4,"Entire Sample",56.45
"9",5,"Black/African American",51.88
"10",5,"Entire Sample",55.59
"11",6,"Black/African American",51.24
"12",6,"Entire Sample",54.73
"13",7,"Black/African American",50.53
"14",7,"Entire Sample",53.94
"15",8,"Black/African American",49.82
"16",8,"Entire Sample",53.15
"17",9,"Black/African American",49.11
"18",9,"Entire Sample",52.36
"19",10,"Black/African American",48.4
"20",10,"Entire Sample",51.57
