"","Week","black","problems"
"1",1,"Black/African American",54.03
"2",1,"Entire Sample",55.96
"3",2,"Black/African American",54.09
"4",2,"Entire Sample",53.75
"5",3,"Black/African American",51.03
"6",3,"Entire Sample",53.14
"7",4,"Black/African American",50
"8",4,"Entire Sample",52.89
"9",5,"Black/African American",45.83
"10",5,"Entire Sample",52.48
"11",6,"Black/African American",37.17
"12",6,"Entire Sample",52.46
"13",7,"Black/African American",46.54
"14",7,"Entire Sample",51.96
"15",8,"Black/African American",46.14
"16",8,"Entire Sample",50.47
"17",9,"Black/African American",50
"18",9,"Entire Sample",52.22
"19",10,"Black/African American",48.08
"20",10,"Entire Sample",50.96
