"","Week","child3","problems"
"1",1,"3+ Children",32.61
"2",1,"Entire Sample",31.07
"3",2,"3+ Children",32.84
"4",2,"Entire Sample",30.82
"5",3,"3+ Children",33.06
"6",3,"Entire Sample",30.58
"7",4,"3+ Children",33.29
"8",4,"Entire Sample",30.34
"9",5,"3+ Children",33.51
"10",5,"Entire Sample",30.1
"11",6,"3+ Children",33.74
"12",6,"Entire Sample",29.85
"13",7,"3+ Children",33.14
"14",7,"Entire Sample",29.01
"15",8,"3+ Children",32.54
"16",8,"Entire Sample",28.16
"17",9,"3+ Children",31.94
"18",9,"Entire Sample",27.32
"19",10,"3+ Children",31.34
"20",10,"Entire Sample",26.47
