"","Week","child3","problems"
"1",1,"3+ Children",32.82
"2",1,"Entire Sample",29
"3",2,"3+ Children",32.89
"4",2,"Entire Sample",30.21
"5",3,"3+ Children",30.97
"6",3,"Entire Sample",30.01
"7",4,"3+ Children",27.41
"8",4,"Entire Sample",29.69
"9",5,"3+ Children",30.11
"10",5,"Entire Sample",25.66
"11",6,"3+ Children",35.7
"12",6,"Entire Sample",28.19
"13",7,"3+ Children",32.52
"14",7,"Entire Sample",27.64
"15",8,"3+ Children",32.14
"16",8,"Entire Sample",25.67
"17",9,"3+ Children",30.86
"18",9,"Entire Sample",26.7
"19",10,"3+ Children",31.52
"20",10,"Entire Sample",25.81
