"","Week","child3","problems"
"1",1,"3+ Children",60.72
"2",1,"Entire Sample",57.45
"3",2,"3+ Children",59.82
"4",2,"Entire Sample",56.32
"5",3,"3+ Children",58.92
"6",3,"Entire Sample",55.19
"7",4,"3+ Children",58.03
"8",4,"Entire Sample",54.07
"9",5,"3+ Children",57.13
"10",5,"Entire Sample",52.94
"11",6,"3+ Children",56.23
"12",6,"Entire Sample",51.81
"13",7,"3+ Children",56.05
"14",7,"Entire Sample",51.07
"15",8,"3+ Children",55.87
"16",8,"Entire Sample",50.33
"17",9,"3+ Children",55.68
"18",9,"Entire Sample",49.59
"19",10,"3+ Children",55.5
"20",10,"Entire Sample",48.85
