"","Week","child3","problems"
"1",1,"3+ Children",62.5
"2",1,"Entire Sample",56.52
"3",2,"3+ Children",57.52
"4",2,"Entire Sample",53.62
"5",3,"3+ Children",53.1
"6",3,"Entire Sample",53.7
"7",4,"3+ Children",54.44
"8",4,"Entire Sample",51.26
"9",5,"3+ Children",53.76
"10",5,"Entire Sample",52.65
"11",6,"3+ Children",60.63
"12",6,"Entire Sample",52.11
"13",7,"3+ Children",58.51
"14",7,"Entire Sample",52.67
"15",8,"3+ Children",56.51
"16",8,"Entire Sample",50.36
"17",9,"3+ Children",56.13
"18",9,"Entire Sample",52.75
"19",10,"3+ Children",56.93
"20",10,"Entire Sample",49.9
