"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",52.63
"2",1,"Entire Sample",43.08
"3",2,"Caregivers of children with disabilities",51.19
"4",2,"Entire Sample",42.06
"5",3,"Caregivers of children with disabilities",49.75
"6",3,"Entire Sample",41.05
"7",4,"Caregivers of children with disabilities",48.3
"8",4,"Entire Sample",40.04
"9",5,"Caregivers of children with disabilities",46.86
"10",5,"Entire Sample",39.03
"11",6,"Caregivers of children with disabilities",45.42
"12",6,"Entire Sample",38.02
"13",7,"Caregivers of children with disabilities",45.05
"14",7,"Entire Sample",37.72
"15",8,"Caregivers of children with disabilities",44.67
"16",8,"Entire Sample",37.43
"17",9,"Caregivers of children with disabilities",44.3
"18",9,"Entire Sample",37.13
"19",10,"Caregivers of children with disabilities",43.93
"20",10,"Entire Sample",36.83
