"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",55.71
"2",1,"Entire Sample",40.8
"3",2,"Caregivers of children with disabilities",60.03
"4",2,"Entire Sample",38.93
"5",3,"Caregivers of children with disabilities",55.66
"6",3,"Entire Sample",37.2
"7",4,"Caregivers of children with disabilities",50.48
"8",4,"Entire Sample",37.23
"9",5,"Caregivers of children with disabilities",53.06
"10",5,"Entire Sample",37.08
"11",6,"Caregivers of children with disabilities",47.44
"12",6,"Entire Sample",35.65
"13",7,"Caregivers of children with disabilities",61.11
"14",7,"Entire Sample",36.19
"15",8,"Caregivers of children with disabilities",41.03
"16",8,"Entire Sample",35.01
"17",9,"Caregivers of children with disabilities",45.68
"18",9,"Entire Sample",39.48
"19",10,"Caregivers of children with disabilities",55.21
"20",10,"Entire Sample",35.77
