"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",51.55
"2",1,"Entire Sample",29.57
"3",2,"Caregivers of children with disabilities",49.56
"4",2,"Entire Sample",29.54
"5",3,"Caregivers of children with disabilities",47.56
"6",3,"Entire Sample",29.5
"7",4,"Caregivers of children with disabilities",45.57
"8",4,"Entire Sample",29.46
"9",5,"Caregivers of children with disabilities",43.57
"10",5,"Entire Sample",29.43
"11",6,"Caregivers of children with disabilities",41.58
"12",6,"Entire Sample",29.39
"13",7,"Caregivers of children with disabilities",41.04
"14",7,"Entire Sample",28.85
"15",8,"Caregivers of children with disabilities",40.51
"16",8,"Entire Sample",28.31
"17",9,"Caregivers of children with disabilities",39.98
"18",9,"Entire Sample",27.78
"19",10,"Caregivers of children with disabilities",39.44
"20",10,"Entire Sample",27.24
"21",NA,"Caregivers of children with disabilities",NA
"22",NA,"Entire Sample",NA
