"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",42.48
"2",1,"Entire Sample",27.81
"3",2,"Caregivers of children with disabilities",41.9
"4",2,"Entire Sample",29.4
"5",3,"Caregivers of children with disabilities",46.49
"6",3,"Entire Sample",28.46
"7",4,"Caregivers of children with disabilities",38.89
"8",4,"Entire Sample",28.11
"9",5,"Caregivers of children with disabilities",32.16
"10",5,"Entire Sample",25.6
"11",6,"Caregivers of children with disabilities",40.12
"12",6,"Entire Sample",28.3
"13",7,"Caregivers of children with disabilities",32.47
"14",7,"Entire Sample",28.08
"15",8,"Caregivers of children with disabilities",32.22
"16",8,"Entire Sample",26.46
"17",9,"Caregivers of children with disabilities",36.04
"18",9,"Entire Sample",26.53
"19",10,"Caregivers of children with disabilities",36.06
"20",10,"Entire Sample",25.97
