"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",60.96
"2",1,"Entire Sample",44.47
"3",2,"Caregivers of children with disabilities",58.86
"4",2,"Entire Sample",44.33
"5",3,"Caregivers of children with disabilities",56.76
"6",3,"Entire Sample",44.19
"7",4,"Caregivers of children with disabilities",54.67
"8",4,"Entire Sample",44.05
"9",5,"Caregivers of children with disabilities",52.57
"10",5,"Entire Sample",43.91
"11",6,"Caregivers of children with disabilities",50.47
"12",6,"Entire Sample",43.76
"13",7,"Caregivers of children with disabilities",50.05
"14",7,"Entire Sample",43.25
"15",8,"Caregivers of children with disabilities",49.63
"16",8,"Entire Sample",42.73
"17",9,"Caregivers of children with disabilities",49.22
"18",9,"Entire Sample",42.21
"19",10,"Caregivers of children with disabilities",48.8
"20",10,"Entire Sample",41.69
"21",NA,"Caregivers of children with disabilities",NA
"22",NA,"Entire Sample",NA
