"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",61.43
"2",1,"Entire Sample",41.81
"3",2,"Caregivers of children with disabilities",63.78
"4",2,"Entire Sample",41.15
"5",3,"Caregivers of children with disabilities",61.32
"6",3,"Entire Sample",41.93
"7",4,"Caregivers of children with disabilities",62.5
"8",4,"Entire Sample",41.8
"9",5,"Caregivers of children with disabilities",54.1
"10",5,"Entire Sample",44.92
"11",6,"Caregivers of children with disabilities",50.93
"12",6,"Entire Sample",44.28
"13",7,"Caregivers of children with disabilities",43.33
"14",7,"Entire Sample",42.95
"15",8,"Caregivers of children with disabilities",38.46
"16",8,"Entire Sample",43.03
"17",9,"Caregivers of children with disabilities",51.79
"18",9,"Entire Sample",44.2
"19",10,"Caregivers of children with disabilities",58.33
"20",10,"Entire Sample",43.37
