"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",64.73
"2",1,"Entire Sample",57.3
"3",2,"Caregivers of children with disabilities",62.85
"4",2,"Entire Sample",56.22
"5",3,"Caregivers of children with disabilities",60.97
"6",3,"Entire Sample",55.15
"7",4,"Caregivers of children with disabilities",59.1
"8",4,"Entire Sample",54.07
"9",5,"Caregivers of children with disabilities",57.22
"10",5,"Entire Sample",53
"11",6,"Caregivers of children with disabilities",55.35
"12",6,"Entire Sample",51.92
"13",7,"Caregivers of children with disabilities",58.89
"14",7,"Entire Sample",51.32
"15",8,"Caregivers of children with disabilities",62.44
"16",8,"Entire Sample",50.71
"17",9,"Caregivers of children with disabilities",65.99
"18",9,"Entire Sample",50.1
"19",10,"Caregivers of children with disabilities",69.53
"20",10,"Entire Sample",49.5
