"","Week","poverty150","problems"
"1",1,"Low Income",45.81
"2",1,"Entire Sample",42.46
"3",2,"Low Income",40.48
"4",2,"Entire Sample",40.2
"5",3,"Low Income",42.92
"6",3,"Entire Sample",35.69
"7",4,"Low Income",40
"8",4,"Entire Sample",35.69
"9",5,"Low Income",36.73
"10",5,"Entire Sample",38.56
"11",6,"Low Income",36.93
"12",6,"Entire Sample",37.64
"13",7,"Low Income",38.96
"14",7,"Entire Sample",38.25
"15",8,"Low Income",37.28
"16",8,"Entire Sample",34.88
"17",9,"Low Income",41.63
"18",9,"Entire Sample",41.07
"19",10,"Low Income",40.63
"20",10,"Entire Sample",35.29
