"","Week","poverty150","problems"
"1",1,"Low Income",37.97
"2",1,"Entire Sample",27.89
"3",2,"Low Income",37.68
"4",2,"Entire Sample",28.06
"5",3,"Low Income",37.38
"6",3,"Entire Sample",28.23
"7",4,"Low Income",37.08
"8",4,"Entire Sample",28.4
"9",5,"Low Income",36.78
"10",5,"Entire Sample",28.57
"11",6,"Low Income",36.49
"12",6,"Entire Sample",28.74
"13",7,"Low Income",35.89
"14",7,"Entire Sample",27.79
"15",8,"Low Income",35.29
"16",8,"Entire Sample",26.85
"17",9,"Low Income",34.69
"18",9,"Entire Sample",25.9
"19",10,"Low Income",34.1
"20",10,"Entire Sample",24.95
