"","Week","poverty150","problems"
"1",1,"Low Income",30.99
"2",1,"Entire Sample",26.66
"3",2,"Low Income",40.58
"4",2,"Entire Sample",28.16
"5",3,"Low Income",38.22
"6",3,"Entire Sample",25.6
"7",4,"Low Income",36.79
"8",4,"Entire Sample",27.89
"9",5,"Low Income",33.33
"10",5,"Entire Sample",25.3
"11",6,"Low Income",33.48
"12",6,"Entire Sample",26.2
"13",7,"Low Income",34.7
"14",7,"Entire Sample",25.94
"15",8,"Low Income",35.13
"16",8,"Entire Sample",23.82
"17",9,"Low Income",36.85
"18",9,"Entire Sample",25.54
"19",10,"Low Income",34.83
"20",10,"Entire Sample",23.8
