"","Week","states_groups","fit"
"1",1,"NY/NJ",41.52
"2",1,"TX/FL/AZ",44.42
"3",2,"NY/NJ",46.45
"4",2,"TX/FL/AZ",45.74
"5",3,"NY/NJ",51.37
"6",3,"TX/FL/AZ",47.05
"7",4,"NY/NJ",49.84
"8",4,"TX/FL/AZ",46.99
"9",5,"NY/NJ",48.31
"10",5,"TX/FL/AZ",46.93
"11",6,"NY/NJ",46.78
"12",6,"TX/FL/AZ",46.87
"13",7,"NY/NJ",45.26
"14",7,"TX/FL/AZ",46.8
"15",8,"NY/NJ",45.34
"16",8,"TX/FL/AZ",46.92
"17",9,"NY/NJ",45.41
"18",9,"TX/FL/AZ",47.05
"19",10,"NY/NJ",45.49
"20",10,"TX/FL/AZ",47.17
"21",11,"NY/NJ",45.57
"22",11,"TX/FL/AZ",47.29
"23",12,"NY/NJ",45.65
"24",12,"TX/FL/AZ",47.41
"25",13,"NY/NJ",45.73
"26",13,"TX/FL/AZ",47.53
"27",14,"NY/NJ",45.81
"28",14,"TX/FL/AZ",47.65
"29",15,"NY/NJ",45.89
"30",15,"TX/FL/AZ",47.78
"31",16,"NY/NJ",45.97
"32",16,"TX/FL/AZ",47.9
"33",17,"NY/NJ",46.05
"34",17,"TX/FL/AZ",48.02
"35",18,"NY/NJ",46.13
"36",18,"TX/FL/AZ",48.14
"37",19,"NY/NJ",46.21
"38",19,"TX/FL/AZ",48.26
"39",20,"NY/NJ",46.29
"40",20,"TX/FL/AZ",48.38
"41",21,"NY/NJ",46.37
"42",21,"TX/FL/AZ",48.51
"43",22,"NY/NJ",46.45
"44",22,"TX/FL/AZ",48.63
"45",23,"NY/NJ",46.53
"46",23,"TX/FL/AZ",48.75
"47",24,"NY/NJ",46.6
"48",24,"TX/FL/AZ",48.87
"49",25,"NY/NJ",46.68
"50",25,"TX/FL/AZ",48.99
"51",26,"NY/NJ",46.76
"52",26,"TX/FL/AZ",49.11
"53",27,"NY/NJ",46.84
"54",27,"TX/FL/AZ",49.24
"55",28,"NY/NJ",46.92
"56",28,"TX/FL/AZ",49.36
"57",29,"NY/NJ",47
"58",29,"TX/FL/AZ",49.48
"59",30,"NY/NJ",47.08
"60",30,"TX/FL/AZ",49.6
"61",31,"NY/NJ",47.16
"62",31,"TX/FL/AZ",49.72
"63",32,"NY/NJ",47.24
"64",32,"TX/FL/AZ",49.84
"65",33,"NY/NJ",47.32
"66",33,"TX/FL/AZ",49.97
"67",34,"NY/NJ",47.4
"68",34,"TX/FL/AZ",50.09
"69",35,"NY/NJ",47.48
"70",35,"TX/FL/AZ",50.21
