"","Week","states_groups","fit"
"1",1,"NY/NJ",42.7
"2",1,"TX/FL/AZ",48.94
"3",2,"NY/NJ",44.32
"4",2,"TX/FL/AZ",46.25
"5",3,"NY/NJ",45.95
"6",3,"TX/FL/AZ",43.56
"7",4,"NY/NJ",44.45
"8",4,"TX/FL/AZ",42.97
"9",5,"NY/NJ",42.95
"10",5,"TX/FL/AZ",42.37
"11",6,"NY/NJ",41.44
"12",6,"TX/FL/AZ",41.78
"13",7,"NY/NJ",39.94
"14",7,"TX/FL/AZ",41.19
"15",8,"NY/NJ",39.86
"16",8,"TX/FL/AZ",41.39
"17",9,"NY/NJ",39.78
"18",9,"TX/FL/AZ",41.59
"19",10,"NY/NJ",39.7
"20",10,"TX/FL/AZ",41.79
"21",11,"NY/NJ",39.62
"22",11,"TX/FL/AZ",41.99
"23",12,"NY/NJ",39.54
"24",12,"TX/FL/AZ",42.19
"25",13,"NY/NJ",39.46
"26",13,"TX/FL/AZ",42.39
"27",14,"NY/NJ",39.38
"28",14,"TX/FL/AZ",42.59
"29",15,"NY/NJ",39.31
"30",15,"TX/FL/AZ",42.79
"31",16,"NY/NJ",39.23
"32",16,"TX/FL/AZ",42.99
"33",17,"NY/NJ",39.15
"34",17,"TX/FL/AZ",43.19
"35",18,"NY/NJ",39.07
"36",18,"TX/FL/AZ",43.39
"37",19,"NY/NJ",38.99
"38",19,"TX/FL/AZ",43.58
"39",20,"NY/NJ",38.91
"40",20,"TX/FL/AZ",43.78
"41",21,"NY/NJ",38.83
"42",21,"TX/FL/AZ",43.98
"43",22,"NY/NJ",38.75
"44",22,"TX/FL/AZ",44.18
"45",23,"NY/NJ",38.67
"46",23,"TX/FL/AZ",44.38
"47",24,"NY/NJ",38.59
"48",24,"TX/FL/AZ",44.58
"49",25,"NY/NJ",38.51
"50",25,"TX/FL/AZ",44.78
