"","Week","states_groups","dot"
"1",1,"NY/NJ",36.63
"2",1,"TX/FL/AZ",40.79
"3",2,"NY/NJ",45.1
"4",2,"TX/FL/AZ",40.17
"5",3,"NY/NJ",48.98
"6",3,"TX/FL/AZ",41.18
"7",4,"NY/NJ",40.43
"8",4,"TX/FL/AZ",44.38
"9",5,"NY/NJ",44.59
"10",5,"TX/FL/AZ",40.31
"11",6,"NY/NJ",43.44
"12",6,"TX/FL/AZ",42.9
"13",7,"NY/NJ",46.36
"14",7,"TX/FL/AZ",41.67
"15",8,"NY/NJ",43
"16",8,"TX/FL/AZ",42.6
"17",9,"NY/NJ",47.19
"18",9,"TX/FL/AZ",44.65
"19",10,"NY/NJ",45.27
"20",10,"TX/FL/AZ",43.71
"21",11,"NY/NJ",43.67
"22",11,"TX/FL/AZ",43.75
"23",12,"NY/NJ",41.41
"24",12,"TX/FL/AZ",43.92
"25",13,"NY/NJ",43.26
"26",13,"TX/FL/AZ",48.04
"27",14,"NY/NJ",44.41
"28",14,"TX/FL/AZ",44.86
"29",15,"NY/NJ",46.82
"30",15,"TX/FL/AZ",50.14
"31",16,"NY/NJ",41.91
"32",16,"TX/FL/AZ",46.47
"33",17,"NY/NJ",42.72
"34",17,"TX/FL/AZ",45.75
"35",18,"NY/NJ",43.48
"36",18,"TX/FL/AZ",53.41
"37",19,"NY/NJ",46.67
"38",19,"TX/FL/AZ",49.5
"39",20,"NY/NJ",58.33
"40",20,"TX/FL/AZ",64.62
"41",21,"NY/NJ",42.07
"42",21,"TX/FL/AZ",48.54
"43",22,"NY/NJ",46.3
"44",22,"TX/FL/AZ",51.53
"45",23,"NY/NJ",45.12
"46",23,"TX/FL/AZ",49.18
"47",24,"NY/NJ",52.08
"48",24,"TX/FL/AZ",51.28
"49",25,"NY/NJ",46.74
"50",25,"TX/FL/AZ",47.71
"51",26,"NY/NJ",56.25
"52",26,"TX/FL/AZ",54.55
"53",27,"NY/NJ",45.74
"54",27,"TX/FL/AZ",46.18
"55",28,"NY/NJ",31.25
"56",28,"TX/FL/AZ",50
"57",29,"NY/NJ",45.07
"58",29,"TX/FL/AZ",50.17
"59",30,"NY/NJ",55
"60",30,"TX/FL/AZ",55.56
"61",31,"NY/NJ",47.86
"62",31,"TX/FL/AZ",50.49
"63",32,"NY/NJ",53.26
"64",32,"TX/FL/AZ",58.04
"65",33,"NY/NJ",43.6
"66",33,"TX/FL/AZ",46.6
"67",34,"NY/NJ",49.24
"68",34,"TX/FL/AZ",51.04
"69",35,"NY/NJ",47.97
"70",35,"TX/FL/AZ",50
