"","Week","states_groups","fit"
"1",1,"NY/NJ",42.6770804131649
"2",1,"TX/FL/AZ",49.5984032533194
"3",2,"NY/NJ",42.1892276445326
"4",2,"TX/FL/AZ",43.4475193649804
"5",3,"NY/NJ",41.7013748759004
"6",3,"TX/FL/AZ",37.2966354766414
"7",4,"NY/NJ",41.2488896534665
"8",4,"TX/FL/AZ",37.4960778753375
"9",5,"NY/NJ",40.7964044310327
"10",5,"TX/FL/AZ",37.6955202740337
"11",6,"NY/NJ",40.3439192085988
"12",6,"TX/FL/AZ",37.8949626727299
"13",7,"NY/NJ",39.891433986165
"14",7,"TX/FL/AZ",38.0944050714261
"15",8,"NY/NJ",39.4389487637311
"16",8,"TX/FL/AZ",38.2938474701223
"17",9,"NY/NJ",38.9864635412973
"18",9,"TX/FL/AZ",38.4932898688185
"19",10,"NY/NJ",38.5339783188634
"20",10,"TX/FL/AZ",38.6927322675146
"21",11,"NY/NJ",38.0814930964296
"22",11,"TX/FL/AZ",38.8921746662108
"23",12,"NY/NJ",37.6290078739957
"24",12,"TX/FL/AZ",39.091617064907
"25",13,"NY/NJ",37.1765226515618
"26",13,"TX/FL/AZ",39.2910594636032
"27",14,"NY/NJ",36.724037429128
"28",14,"TX/FL/AZ",39.4905018622994
"29",15,"NY/NJ",36.2715522066941
"30",15,"TX/FL/AZ",39.6899442609956
"31",16,"NY/NJ",35.8190669842603
"32",16,"TX/FL/AZ",39.8893866596917
"33",17,"NY/NJ",35.3665817618264
"34",17,"TX/FL/AZ",40.0888290583879
"35",18,"NY/NJ",34.9140965393926
"36",18,"TX/FL/AZ",40.2882714570841
"37",19,"NY/NJ",34.4616113169587
"38",19,"TX/FL/AZ",40.4877138557803
"39",20,"NY/NJ",34.0091260945249
"40",20,"TX/FL/AZ",40.6871562544765
"41",21,"NY/NJ",33.556640872091
"42",21,"TX/FL/AZ",40.8865986531726
"43",22,"NY/NJ",33.1041556496572
"44",22,"TX/FL/AZ",41.0860410518688
