"","Week","states_groups","fit"
"1",1,"NY/NJ",43.2160072567935
"2",1,"TX/FL/AZ",49.4870076708712
"3",2,"NY/NJ",43.1559650951294
"4",2,"TX/FL/AZ",45.5195476961018
"5",3,"NY/NJ",43.0959229334652
"6",3,"TX/FL/AZ",41.5520877213325
"7",4,"NY/NJ",42.7389930830561
"8",4,"TX/FL/AZ",41.6919147207034
"9",5,"NY/NJ",42.3820632326469
"10",5,"TX/FL/AZ",41.8317417200744
"11",6,"NY/NJ",42.0251333822378
"12",6,"TX/FL/AZ",41.9715687194454
"13",7,"NY/NJ",41.6682035318286
"14",7,"TX/FL/AZ",42.1113957188163
"15",8,"NY/NJ",41.3112736814194
"16",8,"TX/FL/AZ",42.2512227181873
"17",9,"NY/NJ",40.9543438310103
"18",9,"TX/FL/AZ",42.3910497175583
"19",10,"NY/NJ",40.5974139806011
"20",10,"TX/FL/AZ",42.5308767169292
"21",11,"NY/NJ",40.240484130192
"22",11,"TX/FL/AZ",42.6707037163002
"23",12,"NY/NJ",39.8835542797828
"24",12,"TX/FL/AZ",42.8105307156711
"25",13,"NY/NJ",39.5266244293736
"26",13,"TX/FL/AZ",42.9503577150421
"27",14,"NY/NJ",39.1696945789645
"28",14,"TX/FL/AZ",43.0901847144131
"29",15,"NY/NJ",38.8127647285553
"30",15,"TX/FL/AZ",43.2300117137841
"31",16,"NY/NJ",38.4558348781462
"32",16,"TX/FL/AZ",43.369838713155
"33",17,"NY/NJ",38.098905027737
"34",17,"TX/FL/AZ",43.509665712526
"35",18,"NY/NJ",37.7419751773278
"36",18,"TX/FL/AZ",43.649492711897
"37",19,"NY/NJ",37.3850453269187
"38",19,"TX/FL/AZ",43.7893197112679
"39",20,"NY/NJ",37.0281154765095
"40",20,"TX/FL/AZ",43.9291467106389
"41",21,"NY/NJ",36.6711856261004
"42",21,"TX/FL/AZ",44.0689737100098
"43",22,"NY/NJ",36.3142557756912
"44",22,"TX/FL/AZ",44.2088007093808
