"","Week","states_groups","fit"
"1",1,"NY/NJ",30.8747308574481
"2",1,"TX/FL/AZ",36.3542623598151
"3",2,"NY/NJ",31.8901399920147
"4",2,"TX/FL/AZ",32.8625244801692
"5",3,"NY/NJ",32.9055491265812
"6",3,"TX/FL/AZ",29.3707866005232
"7",4,"NY/NJ",32.2252339011291
"8",4,"TX/FL/AZ",29.6516039329039
"9",5,"NY/NJ",31.5449186756769
"10",5,"TX/FL/AZ",29.9324212652845
"11",6,"NY/NJ",30.8646034502247
"12",6,"TX/FL/AZ",30.2132385976651
"13",7,"NY/NJ",30.1842882247726
"14",7,"TX/FL/AZ",30.4940559300457
"15",8,"NY/NJ",29.5039729993204
"16",8,"TX/FL/AZ",30.7748732624263
"17",9,"NY/NJ",28.8236577738682
"18",9,"TX/FL/AZ",31.0556905948069
"19",10,"NY/NJ",28.143342548416
"20",10,"TX/FL/AZ",31.3365079271876
"21",11,"NY/NJ",27.4630273229639
"22",11,"TX/FL/AZ",31.6173252595682
"23",12,"NY/NJ",26.7827120975117
"24",12,"TX/FL/AZ",31.8981425919488
"25",13,"NY/NJ",26.1023968720595
"26",13,"TX/FL/AZ",32.1789599243294
"27",14,"NY/NJ",25.4220816466074
"28",14,"TX/FL/AZ",32.45977725671
"29",15,"NY/NJ",24.7417664211552
"30",15,"TX/FL/AZ",32.7405945890906
