"","Week","states_groups","fit"
"1",1,"NY/NJ",41.1814261650048
"2",1,"TX/FL/AZ",46.9376479599531
"3",2,"NY/NJ",42.8675025154221
"4",2,"TX/FL/AZ",46.0245505407866
"5",3,"NY/NJ",44.5535788658394
"6",3,"TX/FL/AZ",45.1114531216201
"7",4,"NY/NJ",44.434431329248
"8",4,"TX/FL/AZ",45.2746634467644
"9",5,"NY/NJ",44.3152837926566
"10",5,"TX/FL/AZ",45.4378737719086
"11",6,"NY/NJ",44.1961362560651
"12",6,"TX/FL/AZ",45.6010840970529
"13",7,"NY/NJ",44.0769887194737
"14",7,"TX/FL/AZ",45.7642944221972
"15",8,"NY/NJ",43.9578411828823
"16",8,"TX/FL/AZ",45.9275047473415
"17",9,"NY/NJ",43.8386936462908
"18",9,"TX/FL/AZ",46.0907150724857
"19",10,"NY/NJ",43.7195461096994
"20",10,"TX/FL/AZ",46.25392539763
"21",11,"NY/NJ",43.600398573108
"22",11,"TX/FL/AZ",46.4171357227742
"23",12,"NY/NJ",43.4812510365166
"24",12,"TX/FL/AZ",46.5803460479185
"25",13,"NY/NJ",43.3621034999251
"26",13,"TX/FL/AZ",46.7435563730628
"27",14,"NY/NJ",43.2429559633337
"28",14,"TX/FL/AZ",46.906766698207
"29",15,"NY/NJ",43.1238084267423
"30",15,"TX/FL/AZ",47.0699770233513
"31",16,"NY/NJ",43.0046608901509
"32",16,"TX/FL/AZ",47.2331873484956
"33",17,"NY/NJ",42.8855133535594
"34",17,"TX/FL/AZ",47.3963976736398
"35",18,"NY/NJ",42.766365816968
"36",18,"TX/FL/AZ",47.5596079987841
"37",19,"NY/NJ",42.6472182803766
"38",19,"TX/FL/AZ",47.7228183239284
"39",20,"NY/NJ",42.5280707437852
"40",20,"TX/FL/AZ",47.8860286490726
"41",21,"NY/NJ",42.4089232071937
"42",21,"TX/FL/AZ",48.0492389742169
"43",22,"NY/NJ",42.2897756706023
"44",22,"TX/FL/AZ",48.2124492993612
"45",23,"NY/NJ",42.1706281340109
"46",23,"TX/FL/AZ",48.3756596245054
