"","Week","states_groups","fit"
"1",1,"NY/NJ",64.5560924483335
"2",1,"TX/FL/AZ",61.922887669708
"3",2,"NY/NJ",62.6298559708059
"4",2,"TX/FL/AZ",60.1472496179506
"5",3,"NY/NJ",60.7036194932783
"6",3,"TX/FL/AZ",58.3716115661931
"7",4,"NY/NJ",58.7773830157507
"8",4,"TX/FL/AZ",56.5959735144357
"9",5,"NY/NJ",56.8511465382231
"10",5,"TX/FL/AZ",54.8203354626782
"11",6,"NY/NJ",54.9249100606956
"12",6,"TX/FL/AZ",53.0446974109208
"13",7,"NY/NJ",52.998673583168
"14",7,"TX/FL/AZ",51.2690593591633
"15",8,"NY/NJ",52.9490607942381
"16",8,"TX/FL/AZ",51.490236391344
"17",9,"NY/NJ",52.8994480053082
"18",9,"TX/FL/AZ",51.7114134235247
"19",10,"NY/NJ",52.8498352163783
"20",10,"TX/FL/AZ",51.9325904557053
"21",11,"NY/NJ",52.8002224274484
"22",11,"TX/FL/AZ",52.153767487886
"23",12,"NY/NJ",52.7506096385185
"24",12,"TX/FL/AZ",52.3749445200667
"25",13,"NY/NJ",52.7009968495886
"26",13,"TX/FL/AZ",52.5961215522474
"27",14,"NY/NJ",52.6513840606587
"28",14,"TX/FL/AZ",52.8172985844281
"29",15,"NY/NJ",52.6017712717288
"30",15,"TX/FL/AZ",53.0384756166087
"31",16,"NY/NJ",52.5521584827989
"32",16,"TX/FL/AZ",53.2596526487894
"33",17,"NY/NJ",52.502545693869
"34",17,"TX/FL/AZ",53.4808296809701
"35",18,"NY/NJ",52.4529329049391
"36",18,"TX/FL/AZ",53.7020067131508
"37",19,"NY/NJ",52.4033201160092
"38",19,"TX/FL/AZ",53.9231837453314
"39",20,"NY/NJ",52.3537073270793
"40",20,"TX/FL/AZ",54.1443607775121
"41",21,"NY/NJ",52.3040945381494
"42",21,"TX/FL/AZ",54.3655378096928
"43",22,"NY/NJ",52.2544817492195
"44",22,"TX/FL/AZ",54.5867148418735
"45",23,"NY/NJ",52.2048689602896
"46",23,"TX/FL/AZ",54.8078918740542
"47",24,"NY/NJ",52.1552561713597
"48",24,"TX/FL/AZ",55.0290689062349
"49",25,"NY/NJ",52.1056433824298
"50",25,"TX/FL/AZ",55.2502459384155
"51",26,"NY/NJ",52.0560305934999
"52",26,"TX/FL/AZ",55.4714229705962
"53",27,"NY/NJ",52.00641780457
"54",27,"TX/FL/AZ",55.6926000027769
"55",28,"NY/NJ",51.9568050156401
"56",28,"TX/FL/AZ",55.9137770349576
