"group","person","percent"
"Black","Babysitter/nanny/au pair",5.8
"Black","Friend of parent",0
"Black","Grandparent",26.9
"Black","Not applicable",1.9
"Black","Other neighbor",1
"Black","No one is able to do this",3.8
"Black","Other",2.9
"Black","You/other parent/step-parent ",85.6
"Black","Adult responsible for a group (e.g., pod, bubble) ",5.8
"Black","Other relative",11.5
"Black","Sibling 15 years or older",9.6
"LatinX","Babysitter/nanny/au pair",3.4
"LatinX","Friend of parent",2.4
"LatinX","Grandparent",24.5
"LatinX","Not applicable",1.4
"LatinX","Other neighbor",1.4
"LatinX","No one is able to do this",0.7
"LatinX","Other",2
"LatinX","You/other parent/step-parent ",95.2
"LatinX","Adult responsible for a group (e.g., pod, bubble) ",2.7
"LatinX","Other relative",6.1
"LatinX","Sibling 15 years or older",5.4
"Low income","Babysitter/nanny/au pair",1.5
"Low income","Friend of parent",0
"Low income","Grandparent",22.6
"Low income","Not applicable",1.5
"Low income","Other neighbor",1.5
"Low income","No one is able to do this",1
"Low income","Other",2.5
"Low income","You/other parent/step-parent ",93
"Low income","Adult responsible for a group (e.g., pod, bubble) ",2.5
"Low income","Other relative",10.1
"Low income","Sibling 15 years or older",9.5
"Single parent","Babysitter/nanny/au pair",5.3
"Single parent","Friend of parent",2
"Single parent","Grandparent",37.2
"Single parent","Not applicable",2.1
"Single parent","Other neighbor",1.1
"Single parent","No one is able to do this",3.2
"Single parent","Other",6.4
"Single parent","You/other parent/step-parent ",86.2
"Single parent","Adult responsible for a group (e.g., pod, bubble) ",4.3
"Single parent","Other relative",13.8
"Single parent","Sibling 15 years or older",7.4
"Average","Babysitter/nanny/au pair",5.6
"Average","Friend of parent",2
"Average","Grandparent",26.1
"Average","Not applicable",2.1
"Average","Other neighbor",1
"Average","No one is able to do this",2.1
"Average","Other",4.3
"Average","You/other parent/step-parent ",90.6
"Average","Adult responsible for a group (e.g., pod, bubble) ",5.9
"Average","Other relative",6.9
"Average","Sibling 15 years or older",3.4
