"","Week","Date","income","race","count","percent"
"1",2,"April 14","High income","Black",3,0
"2",2,"April 14","High income","LatinX",7,28.5714285714286
"3",2,"April 14","High income","White",75,10.6666666666667
"4",2,"April 14","Low income","Black",5,60
"5",2,"April 14","Low income","LatinX",6,83.3333333333333
"6",2,"April 14","Low income","White",20,60
"7",3,"April 20","High income","Black",1,100
"8",3,"April 20","High income","LatinX",8,0
"9",3,"April 20","High income","White",34,23.5294117647059
"10",3,"April 20","Low income","Black",4,50
"11",3,"April 20","Low income","LatinX",5,40
"12",3,"April 20","Low income","White",20,55
"13",4,"April 28","High income","Black",1,0
"14",4,"April 28","High income","LatinX",6,0
"15",4,"April 28","High income","White",32,21.875
"16",4,"April 28","Low income","Black",4,25
"17",4,"April 28","Low income","LatinX",5,40
"18",4,"April 28","Low income","White",12,50
"19",5,"May 05","High income","LatinX",8,50
"20",5,"May 05","High income","White",26,15.3846153846154
"21",5,"May 05","Low income","LatinX",4,75
"22",5,"May 05","Low income","White",1,100
"23",6,"May 12","High income","Black",3,33.3333333333333
"24",6,"May 12","High income","LatinX",14,28.5714285714286
"25",6,"May 12","High income","White",89,20.2247191011236
"26",6,"May 12","Low income","Black",5,80
"27",6,"May 12","Low income","LatinX",9,33.3333333333333
"28",6,"May 12","Low income","White",22,59.0909090909091
"29",7,"May 19","High income","Black",3,0
"30",7,"May 19","High income","LatinX",10,40
"31",7,"May 19","High income","White",101,17.8217821782178
"32",7,"May 19","Low income","Black",3,100
"33",7,"May 19","Low income","LatinX",6,66.6666666666667
"34",7,"May 19","Low income","White",22,54.5454545454545
"35",8,"May 26","High income","Black",5,40
"36",8,"May 26","High income","LatinX",10,40
"37",8,"May 26","High income","White",90,15.5555555555556
"38",8,"May 26","Low income","LatinX",8,87.5
"39",8,"May 26","Low income","White",17,64.7058823529412
"40",9,"June 02","High income","Black",5,20
"41",9,"June 02","High income","LatinX",16,37.5
"42",9,"June 02","High income","White",61,16.3934426229508
"43",9,"June 02","Low income","Black",2,50
"44",9,"June 02","Low income","LatinX",3,66.6666666666667
"45",9,"June 02","Low income","White",14,42.8571428571429
"46",10,"June 09","High income","Black",7,28.5714285714286
"47",10,"June 09","High income","LatinX",13,23.0769230769231
"48",10,"June 09","High income","White",30,23.3333333333333
"49",10,"June 09","Low income","Black",5,60
"50",10,"June 09","Low income","LatinX",9,77.7777777777778
"51",10,"June 09","Low income","White",15,86.6666666666667
"52",11,"June 16","High income","Black",6,50
"53",11,"June 16","High income","LatinX",13,30.7692307692308
"54",11,"June 16","High income","White",38,15.7894736842105
"55",11,"June 16","Low income","Black",4,75
"56",11,"June 16","Low income","LatinX",7,85.7142857142857
"57",11,"June 16","Low income","White",19,63.1578947368421
"58",12,"June 23","High income","Black",10,60
"59",12,"June 23","High income","LatinX",17,17.6470588235294
"60",12,"June 23","High income","White",87,19.5402298850575
"61",12,"June 23","Low income","Black",4,100
"62",12,"June 23","Low income","LatinX",7,57.1428571428571
"63",12,"June 23","Low income","White",22,54.5454545454545
"64",13,"June 29","High income","Black",5,40
"65",13,"June 29","High income","LatinX",36,38.8888888888889
"66",13,"June 29","High income","White",57,21.0526315789474
"67",13,"June 29","Low income","Black",6,66.6666666666667
"68",13,"June 29","Low income","LatinX",19,73.6842105263158
"69",13,"June 29","Low income","White",15,53.3333333333333
"70",14,"July 06","High income","Black",24,37.5
"71",14,"July 06","High income","LatinX",23,43.4782608695652
"72",14,"July 06","High income","White",65,13.8461538461538
"73",14,"July 06","Low income","Black",27,55.5555555555556
"74",14,"July 06","Low income","LatinX",25,72
"75",14,"July 06","Low income","White",13,76.9230769230769
"76",15,"July 13","High income","Black",10,50
"77",15,"July 13","High income","LatinX",20,45
"78",15,"July 13","High income","White",56,30.3571428571429
"79",15,"July 13","Low income","Black",8,50
"80",15,"July 13","Low income","LatinX",15,53.3333333333333
"81",15,"July 13","Low income","White",16,31.25
"82",16,"July 20","High income","Black",7,57.1428571428571
"83",16,"July 20","High income","LatinX",14,50
"84",16,"July 20","High income","White",40,35
"85",16,"July 20","Low income","Black",6,100
"86",16,"July 20","Low income","LatinX",9,55.5555555555556
"87",16,"July 20","Low income","White",14,64.2857142857143
"88",17,"July 27","High income","Black",6,16.6666666666667
"89",17,"July 27","High income","LatinX",12,66.6666666666667
"90",17,"July 27","High income","White",41,36.5853658536585
"91",17,"July 27","Low income","Black",3,100
"92",17,"July 27","Low income","LatinX",5,80
"93",17,"July 27","Low income","White",4,75
"94",19,"August 11","High income","Black",10,40
"95",19,"August 11","High income","LatinX",20,50
"96",19,"August 11","High income","White",142,23.943661971831
"97",19,"August 11","Low income","Black",4,50
"98",19,"August 11","Low income","LatinX",14,64.2857142857143
"99",19,"August 11","Low income","White",45,66.6666666666667
"100",21,"August 25","High income","Black",8,37.5
"101",21,"August 25","High income","LatinX",18,44.4444444444444
"102",21,"August 25","High income","White",157,25.4777070063694
"103",21,"August 25","Low income","Black",5,80
"104",21,"August 25","Low income","LatinX",6,50
"105",21,"August 25","Low income","White",40,60
"106",23,"September 08","High income","Black",12,33.3333333333333
"107",23,"September 08","High income","LatinX",26,57.6923076923077
"108",23,"September 08","High income","White",122,36.0655737704918
"109",23,"September 08","Low income","Black",7,57.1428571428571
"110",23,"September 08","Low income","LatinX",11,54.5454545454545
"111",23,"September 08","Low income","White",56,69.6428571428571
"112",25,"September 21","High income","Black",6,50
"113",25,"September 21","High income","LatinX",12,33.3333333333333
"114",25,"September 21","High income","White",104,28.8461538461538
"115",25,"September 21","Low income","Black",2,100
"116",25,"September 21","Low income","LatinX",18,72.2222222222222
"117",25,"September 21","Low income","White",42,73.8095238095238
"118",27,"October 06","High income","Black",6,83.3333333333333
"119",27,"October 06","High income","LatinX",13,38.4615384615385
"120",27,"October 06","High income","White",64,28.125
"121",27,"October 06","Low income","Black",3,66.6666666666667
"122",27,"October 06","Low income","LatinX",13,76.9230769230769
"123",27,"October 06","Low income","White",22,77.2727272727273
"124",29,"October 20","High income","Black",6,33.3333333333333
"125",29,"October 20","High income","LatinX",15,46.6666666666667
"126",29,"October 20","High income","White",135,28.1481481481481
"127",29,"October 20","Low income","Black",6,66.6666666666667
"128",29,"October 20","Low income","LatinX",13,61.5384615384615
"129",29,"October 20","Low income","White",45,55.5555555555556
"130",31,"November 03","High income","Black",2,0
"131",31,"November 03","High income","LatinX",10,10
"132",31,"November 03","High income","White",100,23
"133",31,"November 03","Low income","Black",8,62.5
"134",31,"November 03","Low income","LatinX",3,33.3333333333333
"135",31,"November 03","Low income","White",39,56.4102564102564
"136",33,"November 17","High income","Black",13,38.4615384615385
"137",33,"November 17","High income","LatinX",21,33.3333333333333
"138",33,"November 17","High income","White",172,27.3255813953488
"139",33,"November 17","Low income","Black",3,66.6666666666667
"140",33,"November 17","Low income","LatinX",17,94.1176470588235
"141",33,"November 17","Low income","White",57,57.8947368421053
