"","Week","percent","race","income","Date"
"1",2,22.2,"LatinX","High Income","April 14"
"2",2,57.3,"LatinX","Low Income","April 14"
"3",2,16.3,"White","High Income","April 14"
"4",2,54.7,"White","Low Income","April 14"
"5",2,37,"Black","High Income","April 14"
"6",2,59.8,"Black","Low Income","April 14"
"7",4,23.9,"LatinX","High Income","April 28"
"8",4,58.1,"LatinX","Low Income","April 28"
"9",4,16.8,"White","High Income","April 28"
"10",4,55.3,"White","Low Income","April 28"
"11",4,37,"Black","High Income","April 28"
"12",4,59.9,"Black","Low Income","April 28"
"13",6,25.7,"LatinX","High Income","May 12"
"14",6,58.9,"LatinX","Low Income","May 12"
"15",6,17.4,"White","High Income","May 12"
"16",6,55.9,"White","Low Income","May 12"
"17",6,37.1,"Black","High Income","May 12"
"18",6,60,"Black","Low Income","May 12"
"19",8,27.6,"LatinX","High Income","May 26"
"20",8,59.7,"LatinX","Low Income","May 26"
"21",8,18,"White","High Income","May 26"
"22",8,56.5,"White","Low Income","May 26"
"23",8,37.1,"Black","High Income","May 26"
"24",8,60,"Black","Low Income","May 26"
"25",10,29.6,"LatinX","High Income","June 09"
"26",10,60.5,"LatinX","Low Income","June 09"
"27",10,18.6,"White","High Income","June 09"
"28",10,57.2,"White","Low Income","June 09"
"29",10,37.2,"Black","High Income","June 09"
"30",10,60.1,"Black","Low Income","June 09"
"31",12,31.6,"LatinX","High Income","June 23"
"32",12,61.3,"LatinX","Low Income","June 23"
"33",12,19.2,"White","High Income","June 23"
"34",12,57.8,"White","Low Income","June 23"
"35",12,37.2,"Black","High Income","June 23"
"36",12,60.2,"Black","Low Income","June 23"
"37",14,33.8,"LatinX","High Income","July 06"
"38",14,62,"LatinX","Low Income","July 06"
"39",14,19.8,"White","High Income","July 06"
"40",14,58.4,"White","Low Income","July 06"
"41",14,37.3,"Black","High Income","July 06"
"42",14,60.3,"Black","Low Income","July 06"
"43",16,36,"LatinX","High Income","July 20"
"44",16,62.8,"LatinX","Low Income","July 20"
"45",16,20.5,"White","High Income","July 20"
"46",16,59,"White","Low Income","July 20"
"47",16,37.3,"Black","High Income","July 20"
"48",16,60.4,"Black","Low Income","July 20"
"49",18,38.2,"LatinX","High Income",NA
"50",18,63.6,"LatinX","Low Income",NA
"51",18,21.1,"White","High Income",NA
"52",18,59.6,"White","Low Income",NA
"53",18,37.4,"Black","High Income",NA
"54",18,60.5,"Black","Low Income",NA
"55",20,40.6,"LatinX","High Income",NA
"56",20,64.4,"LatinX","Low Income",NA
"57",20,21.8,"White","High Income",NA
"58",20,60.2,"White","Low Income",NA
"59",20,37.4,"Black","High Income",NA
"60",20,60.6,"Black","Low Income",NA
"61",22,42.9,"LatinX","High Income",NA
"62",22,65.1,"LatinX","Low Income",NA
"63",22,22.5,"White","High Income",NA
"64",22,60.8,"White","Low Income",NA
"65",22,37.5,"Black","High Income",NA
"66",22,60.7,"Black","Low Income",NA
"67",24,45.3,"LatinX","High Income",NA
"68",24,65.9,"LatinX","Low Income",NA
"69",24,23.2,"White","High Income",NA
"70",24,61.4,"White","Low Income",NA
"71",24,37.5,"Black","High Income",NA
"72",24,60.8,"Black","Low Income",NA
"73",26,47.7,"LatinX","High Income",NA
"74",26,66.6,"LatinX","Low Income",NA
"75",26,23.9,"White","High Income",NA
"76",26,62,"White","Low Income",NA
"77",26,37.6,"Black","High Income",NA
"78",26,60.8,"Black","Low Income",NA
"79",28,50.1,"LatinX","High Income",NA
"80",28,67.3,"LatinX","Low Income",NA
"81",28,24.7,"White","High Income",NA
"82",28,62.6,"White","Low Income",NA
"83",28,37.6,"Black","High Income",NA
"84",28,60.9,"Black","Low Income",NA
