"Week","Date","n","percent","moe"
0,2020-04-13,6200,54.6935483870968,1.2391055482752
4,2020-04-27,517,19.9226305609284,3.44301598980758
5,2020-05-04,527,21.6318785578748,3.51534213804533
6,2020-05-11,646,24.4582043343653,3.31471160542001
9,2020-06-01,1031,28.1280310378273,2.74458178275047
10,2020-06-08,971,30.8959835221421,2.90635803387094
11,2020-06-15,1088,34.2830882352941,2.82046143014538
12,2020-06-22,992,33.9717741935484,2.94729877475894
14,2020-07-06,1044,35.632183908046,2.90510229748608
15,2020-07-13,1026,39.4736842105263,2.99094441429689
16,2020-07-20,1070,41.6822429906542,2.9542016000453
17,2020-07-27,1092,42.2161172161172,2.92945786688486
19,2020-08-11,1001,46.4535464535465,3.08968231080453
21,2020-08-25,1159,43.8308886971527,2.85662523151091
23,2020-09-08,999,48.048048048048,3.09821916893709
25,2020-09-21,937,49.7331910352188,3.20147486821862
29,2020-10-20,992,35.1814516129032,2.97171230847772
31,2020-11-03,953,35.8866736621196,3.04544232051797
