state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Alaska (EV: 3),40:57.3,Trump,Biden,108231,56849,51382,193975,39556,38323,0.710591551,0.289408449,360,441,0.638021741,0.059392164,0.289408449,{},172031
Alaska (EV: 3),28:22.1,Trump,Biden,80999,45758,35241,233531,0,0,0,0,201,441,0.578629578,-0.421370422,,{},132475
Arizona (EV: 11),49:30.7,Biden,Trump,1643664,1626679,16985,81209,327,319,0.551724138,0.448275862,1475,1489,0.606244793,0.000631689,0.535933333,{'Apache': 327},3322535
Arizona (EV: 11),35:28.2,Biden,Trump,1643488,1626536,16952,81536,16739,16258,0.403124616,0.596875384,1475,1489,0.605613104,0.00170666,0.5384,"{'Apache': 3253, 'Pinal': 13486}",3322208
Arizona (EV: 11),26:06.9,Biden,Trump,1636934,1616832,20102,98275,0,0,0,0,1471,1489,0.603906444,0.011849597,0.533433333,{},3305469
Arizona (EV: 11),08:18.5,Biden,Trump,1636934,1616832,20102,110925,6862,6752,0.555835308,0.444164692,1471,1489,0.592056847,0.008614794,0.533433333,{'Maricopa': 6862},3305469
Arizona (EV: 11),32:33.8,Biden,Trump,1633181,1613833,19348,117787,3038,2995,0.632721202,0.367278798,1471,1489,0.583442053,0.005440436,0.5641,{'Apache': 3038},3298607
Arizona (EV: 11),39:24.2,Biden,Trump,1631286,1612733,18553,120825,244,239,0.380753138,0.619246862,1467,1489,0.578001617,-8.20E-05,0.585366667,{'Navajo': 244},3295569
Arizona (EV: 11),21:07.1,Biden,Trump,1631195,1612585,18610,121069,2279,2239,0.47699866,0.52300134,1467,1489,0.578083574,0.001018505,0.585066667,{'Apache': 2279},3295325
Arizona (EV: 11),03:56.6,Biden,Trump,1630127,1611414,18713,123348,7119,6925,0.321299639,0.678700361,1464,1489,0.577065069,-0.005431437,0.589366667,{'Pinal': 7119},3293046
Arizona (EV: 11),31:25.7,Biden,Trump,1627902,1606714,21188,130467,1022,1010,0.833663366,0.166336634,1464,1489,0.582496505,0.00324506,0.566666667,{'Apache': 1022},3285927
Arizona (EV: 11),09:53.6,Biden,Trump,1627060,1606546,20514,131489,303,293,0.399317406,0.600682594,1463,1489,0.579251446,-4.52E-05,0.5806,{'Coconino': 303},3284905
Arizona (EV: 11),03:57.4,Biden,Trump,1626943,1606370,20573,131792,40407,46505,0.419589291,0.580410709,1463,1489,0.57929665,-0.003455535,0.580410709,{'Maricopa': 47870},3284602
Arizona (EV: 11),01:43.0,Biden,Trump,1607430,1579378,28052,172199,1750,1719,0.525887144,0.474112856,1463,1489,0.582752185,0.001092427,0.5658,{'Yuma': 1750},3244195
Arizona (EV: 11),45:35.8,Biden,Trump,1606526,1578563,27963,173949,6995,6816,0.360768779,0.639231221,1463,1489,0.581659758,-0.002171585,0.570133333,{'Pinal': 6995},3242445
Arizona (EV: 11),24:13.3,Biden,Trump,1604067,1574206,29861,180944,0,0,0,0,1462,1489,0.583831343,-0.003877849,0.5498,{},3235450
Arizona (EV: 11),12:08.6,Biden,Trump,1604067,1574206,29861,172944,7463,0,0,0,1462,1489,0.587709192,0.003628317,0.5498,{'Maricopa': 7463},3235450
Arizona (EV: 11),02:37.7,Biden,Trump,1604067,1574206,29861,180407,71932,69821,0.450194068,0.549805932,1462,1489,0.584080876,0.009967177,0.549805932,{'Maricopa': 71932},3227987
Arizona (EV: 11),28:19.2,Biden,Trump,1572634,1535818,36816,252339,612,595,0.484033613,0.515966387,1462,1489,0.574113699,0.000141158,0.6159,{'Coconino': 612},3156055
Arizona (EV: 11),43:16.4,Biden,Trump,1572346,1535511,36835,252951,2976,2866,0.217376134,0.782623866,1461,1489,0.573972541,-0.002355299,0.614066667,{'Yavapai': 2976},3155443
Arizona (EV: 11),43:16.5,Biden,Trump,1571723,1533268,38455,255927,2172,2099,0.353501667,0.646498333,1460,1489,0.57632784,-0.00056809,0.5873,{'Cochise': 2172},3152467
Arizona (EV: 11),33:12.7,Biden,Trump,1570981,1531911,39070,258099,0,0,0,0,1458,1489,0.57689593,-0.016321185,0.579066667,{},3150295
Arizona (EV: 11),16:34.6,Biden,Trump,1570981,1531911,39070,212909,204,202,0.336633663,0.663366337,1458,1489,0.593217114,-6.81E-05,0.579066667,{'Gila': 204},3150295
Arizona (EV: 11),13:45.5,Biden,Trump,1570913,1531777,39136,213113,8881,6992,0.479405034,0.520594966,1458,1489,0.593285202,0.003072911,0.578166667,{'Pima': 7649},3150091
Arizona (EV: 11),07:08.3,Biden,Trump,1567561,1528137,39424,221994,4846,4698,0.502554278,0.497445722,1453,1489,0.590212291,0.001980957,0.580133333,{'Yuma': 4846},3141210
Arizona (EV: 11),24:11.9,Biden,Trump,1565200,1525800,39400,226840,1031,1003,0.316051844,0.683948156,1451,1489,0.588231334,-0.000423389,0.585066667,{'Navajo': 1031},3136364
Arizona (EV: 11),30:39.2,Biden,Trump,1564883,1525114,39769,227871,6666,6551,0.409555793,0.590444207,1451,1489,0.588654723,-4.68E-05,0.5799,{'Pinal': 6666},3135333
Arizona (EV: 11),53:53.3,Biden,Trump,1562200,1521246,40954,234537,1086,1066,0.336772983,0.663227017,1446,1489,0.588701553,-0.000341423,0.566466667,{'Navajo': 1086},3128667
