"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",56.19
"2",1,"Entire Sample",42.91
"3",2,"Caregivers of children with disabilities",54.01
"4",2,"Entire Sample",41.97
"5",3,"Caregivers of children with disabilities",51.82
"6",3,"Entire Sample",41.04
"7",4,"Caregivers of children with disabilities",49.63
"8",4,"Entire Sample",40.11
"9",5,"Caregivers of children with disabilities",47.45
"10",5,"Entire Sample",39.18
"11",6,"Caregivers of children with disabilities",45.26
"12",6,"Entire Sample",38.25
"13",7,"Caregivers of children with disabilities",45.14
"14",7,"Entire Sample",37.89
"15",8,"Caregivers of children with disabilities",45.02
"16",8,"Entire Sample",37.53
"17",9,"Caregivers of children with disabilities",44.9
"18",9,"Entire Sample",37.17
"19",10,"Caregivers of children with disabilities",44.78
"20",10,"Entire Sample",36.81
