"","Week","poverty150","problems"
"1",1,"Low Income",46.52
"2",1,"Entire Sample",43.67
"3",2,"Low Income",45.34
"4",2,"Entire Sample",42.56
"5",3,"Low Income",44.16
"6",3,"Entire Sample",41.46
"7",4,"Low Income",42.97
"8",4,"Entire Sample",40.35
"9",5,"Low Income",41.79
"10",5,"Entire Sample",39.24
"11",6,"Low Income",40.6
"12",6,"Entire Sample",38.14
"13",7,"Low Income",40.73
"14",7,"Entire Sample",37.68
"15",8,"Low Income",40.86
"16",8,"Entire Sample",37.22
"17",9,"Low Income",40.98
"18",9,"Entire Sample",36.76
"19",10,"Low Income",41.11
"20",10,"Entire Sample",36.3
