"","Week","poverty150","problems"
"1",1,"Low Income",37.93
"2",1,"Entire Sample",27.87
"3",2,"Low Income",37.64
"4",2,"Entire Sample",28.04
"5",3,"Low Income",37.35
"6",3,"Entire Sample",28.22
"7",4,"Low Income",37.06
"8",4,"Entire Sample",28.39
"9",5,"Low Income",36.77
"10",5,"Entire Sample",28.56
"11",6,"Low Income",36.48
"12",6,"Entire Sample",28.74
"13",7,"Low Income",35.91
"14",7,"Entire Sample",27.78
"15",8,"Low Income",35.33
"16",8,"Entire Sample",26.83
"17",9,"Low Income",34.75
"18",9,"Entire Sample",25.87
"19",10,"Low Income",34.17
"20",10,"Entire Sample",24.92
