"","Week","states_groups","fit"
"1",1,"NY/NJ",43.72
"2",1,"TX/FL/AZ",48.41
"3",2,"NY/NJ",46.8
"4",2,"TX/FL/AZ",45.81
"5",3,"NY/NJ",49.88
"6",3,"TX/FL/AZ",43.21
"7",4,"NY/NJ",47.69
"8",4,"TX/FL/AZ",42.89
"9",5,"NY/NJ",45.49
"10",5,"TX/FL/AZ",42.57
"11",6,"NY/NJ",43.3
"12",6,"TX/FL/AZ",42.26
"13",7,"NY/NJ",41.1
"14",7,"TX/FL/AZ",41.94
"15",8,"NY/NJ",41.04
"16",8,"TX/FL/AZ",42
"17",9,"NY/NJ",40.98
"18",9,"TX/FL/AZ",42.06
"19",10,"NY/NJ",40.92
"20",10,"TX/FL/AZ",42.12
"21",11,"NY/NJ",40.85
"22",11,"TX/FL/AZ",42.19
"23",12,"NY/NJ",40.79
"24",12,"TX/FL/AZ",42.25
"25",13,"NY/NJ",40.73
"26",13,"TX/FL/AZ",42.31
"27",14,"NY/NJ",40.67
"28",14,"TX/FL/AZ",42.37
"29",15,"NY/NJ",40.61
"30",15,"TX/FL/AZ",42.44
"31",16,"NY/NJ",40.55
"32",16,"TX/FL/AZ",42.5
"33",17,"NY/NJ",40.49
"34",17,"TX/FL/AZ",42.56
"35",18,"NY/NJ",40.42
"36",18,"TX/FL/AZ",42.62
"37",19,"NY/NJ",40.36
"38",19,"TX/FL/AZ",42.69
"39",20,"NY/NJ",40.3
"40",20,"TX/FL/AZ",42.75
"41",21,"NY/NJ",40.24
"42",21,"TX/FL/AZ",42.81
"43",22,"NY/NJ",40.18
"44",22,"TX/FL/AZ",42.87
"45",23,"NY/NJ",40.12
"46",23,"TX/FL/AZ",42.94
"47",24,"NY/NJ",40.05
"48",24,"TX/FL/AZ",43
"49",25,"NY/NJ",39.99
"50",25,"TX/FL/AZ",43.06
"51",26,"NY/NJ",39.93
"52",26,"TX/FL/AZ",43.12
"53",27,"NY/NJ",39.87
"54",27,"TX/FL/AZ",43.19
"55",28,"NY/NJ",39.81
"56",28,"TX/FL/AZ",43.25
"57",29,"NY/NJ",39.75
"58",29,"TX/FL/AZ",43.31
