"","Week","states_groups","dot"
"1",1,"NY/NJ",42.59
"2",1,"TX/FL/AZ",45.66
"3",2,"NY/NJ",41.38
"4",2,"TX/FL/AZ",41.14
"5",3,"NY/NJ",49.15
"6",3,"TX/FL/AZ",39.66
"7",4,"NY/NJ",42.82
"8",4,"TX/FL/AZ",40.9
"9",5,"NY/NJ",41.06
"10",5,"TX/FL/AZ",31.85
"11",6,"NY/NJ",39.55
"12",6,"TX/FL/AZ",36.16
"13",7,"NY/NJ",42.19
"14",7,"TX/FL/AZ",36.92
"15",8,"NY/NJ",40.57
"16",8,"TX/FL/AZ",36.28
"17",9,"NY/NJ",43.83
"18",9,"TX/FL/AZ",38.61
"19",10,"NY/NJ",42.22
"20",10,"TX/FL/AZ",38.91
"21",11,"NY/NJ",38.93
"22",11,"TX/FL/AZ",36.12
"23",12,"NY/NJ",37.37
"24",12,"TX/FL/AZ",38.43
"25",13,"NY/NJ",38.55
"26",13,"TX/FL/AZ",43.09
"27",14,"NY/NJ",39.54
"28",14,"TX/FL/AZ",39.25
"29",15,"NY/NJ",38.23
"30",15,"TX/FL/AZ",43.71
"31",16,"NY/NJ",36.9
"32",16,"TX/FL/AZ",40.5
"33",17,"NY/NJ",37.06
"34",17,"TX/FL/AZ",37.7
"35",18,"NY/NJ",37.86
"36",18,"TX/FL/AZ",48.94
"37",19,"NY/NJ",40.05
"38",19,"TX/FL/AZ",41.07
"39",20,"NY/NJ",48.66
"40",20,"TX/FL/AZ",57.72
"41",21,"NY/NJ",38.65
"42",21,"TX/FL/AZ",42.27
"43",22,"NY/NJ",38.66
"44",22,"TX/FL/AZ",48.12
"45",23,"NY/NJ",38.33
"46",23,"TX/FL/AZ",41.99
"47",24,"NY/NJ",44.39
"48",24,"TX/FL/AZ",44.1
"49",25,"NY/NJ",39.87
"50",25,"TX/FL/AZ",41.15
"51",26,"NY/NJ",51.22
"52",26,"TX/FL/AZ",48.34
"53",27,"NY/NJ",35.44
"54",27,"TX/FL/AZ",37.98
"55",28,"NY/NJ",23.96
"56",28,"TX/FL/AZ",46.53
"57",29,"NY/NJ",38.96
"58",29,"TX/FL/AZ",39.46
