"","Week","states_groups","fit"
"1",1,"NY/NJ",44.6350086638175
"2",1,"TX/FL/AZ",48.6136496647503
"3",2,"NY/NJ",44.3091883067169
"4",2,"TX/FL/AZ",45.382182974979
"5",3,"NY/NJ",43.9833679496162
"6",3,"TX/FL/AZ",42.1507162852077
"7",4,"NY/NJ",43.7946554090256
"8",4,"TX/FL/AZ",42.1891094403529
"9",5,"NY/NJ",43.6059428684351
"10",5,"TX/FL/AZ",42.2275025954981
"11",6,"NY/NJ",43.4172303278445
"12",6,"TX/FL/AZ",42.2658957506432
"13",7,"NY/NJ",43.228517787254
"14",7,"TX/FL/AZ",42.3042889057884
"15",8,"NY/NJ",43.0398052466634
"16",8,"TX/FL/AZ",42.3426820609336
"17",9,"NY/NJ",42.8510927060729
"18",9,"TX/FL/AZ",42.3810752160788
"19",10,"NY/NJ",42.6623801654823
"20",10,"TX/FL/AZ",42.419468371224
"21",11,"NY/NJ",42.4736676248918
"22",11,"TX/FL/AZ",42.4578615263692
"23",12,"NY/NJ",42.2849550843012
"24",12,"TX/FL/AZ",42.4962546815144
"25",13,"NY/NJ",42.0962425437107
"26",13,"TX/FL/AZ",42.5346478366596
"27",14,"NY/NJ",41.9075300031201
"28",14,"TX/FL/AZ",42.5730409918048
"29",15,"NY/NJ",41.7188174625296
"30",15,"TX/FL/AZ",42.61143414695
"31",16,"NY/NJ",41.530104921939
"32",16,"TX/FL/AZ",42.6498273020952
"33",17,"NY/NJ",41.3413923813485
"34",17,"TX/FL/AZ",42.6882204572404
"35",18,"NY/NJ",41.1526798407579
"36",18,"TX/FL/AZ",42.7266136123856
"37",19,"NY/NJ",40.9639673001673
"38",19,"TX/FL/AZ",42.7650067675308
"39",20,"NY/NJ",40.7752547595768
"40",20,"TX/FL/AZ",42.803399922676
"41",21,"NY/NJ",40.5865422189862
"42",21,"TX/FL/AZ",42.8417930778212
"43",22,"NY/NJ",40.3978296783957
"44",22,"TX/FL/AZ",42.8801862329663
"45",23,"NY/NJ",40.2091171378051
"46",23,"TX/FL/AZ",42.9185793881115
"47",24,"NY/NJ",40.0204045972146
"48",24,"TX/FL/AZ",42.9569725432567
"49",25,"NY/NJ",39.831692056624
"50",25,"TX/FL/AZ",42.9953656984019
"51",26,"NY/NJ",39.6429795160335
"52",26,"TX/FL/AZ",43.0337588535471
"53",27,"NY/NJ",39.4542669754429
"54",27,"TX/FL/AZ",43.0721520086923
"55",28,"NY/NJ",39.2655544348524
"56",28,"TX/FL/AZ",43.1105451638375
"57",29,"NY/NJ",39.0768418942618
"58",29,"TX/FL/AZ",43.1489383189827
