"","Week","states_groups","fit"
"1",1,"NY/NJ",62.0010805721692
"2",1,"TX/FL/AZ",65.6463789816496
"3",2,"NY/NJ",58.9213215657993
"4",2,"TX/FL/AZ",59.4187031810648
"5",3,"NY/NJ",55.8415625594294
"6",3,"TX/FL/AZ",53.1910273804801
"7",4,"NY/NJ",55.6648703418621
"8",4,"TX/FL/AZ",53.2143621921475
"9",5,"NY/NJ",55.4881781242949
"10",5,"TX/FL/AZ",53.2376970038149
"11",6,"NY/NJ",55.3114859067276
"12",6,"TX/FL/AZ",53.2610318154822
"13",7,"NY/NJ",55.1347936891603
"14",7,"TX/FL/AZ",53.2843666271496
"15",8,"NY/NJ",54.958101471593
"16",8,"TX/FL/AZ",53.307701438817
"17",9,"NY/NJ",54.7814092540257
"18",9,"TX/FL/AZ",53.3310362504844
"19",10,"NY/NJ",54.6047170364585
"20",10,"TX/FL/AZ",53.3543710621518
"21",11,"NY/NJ",54.4280248188912
"22",11,"TX/FL/AZ",53.3777058738192
"23",12,"NY/NJ",54.2513326013239
"24",12,"TX/FL/AZ",53.4010406854866
"25",13,"NY/NJ",54.0746403837566
"26",13,"TX/FL/AZ",53.424375497154
"27",14,"NY/NJ",53.8979481661893
"28",14,"TX/FL/AZ",53.4477103088214
"29",15,"NY/NJ",53.7212559486221
"30",15,"TX/FL/AZ",53.4710451204887
"31",16,"NY/NJ",53.5445637310548
"32",16,"TX/FL/AZ",53.4943799321561
"33",17,"NY/NJ",53.3678715134875
"34",17,"TX/FL/AZ",53.5177147438235
"35",18,"NY/NJ",53.1911792959202
"36",18,"TX/FL/AZ",53.5410495554909
"37",19,"NY/NJ",53.0144870783529
"38",19,"TX/FL/AZ",53.5643843671583
"39",20,"NY/NJ",52.8377948607856
"40",20,"TX/FL/AZ",53.5877191788257
"41",21,"NY/NJ",52.6611026432184
"42",21,"TX/FL/AZ",53.6110539904931
"43",22,"NY/NJ",52.4844104256511
"44",22,"TX/FL/AZ",53.6343888021605
"45",23,"NY/NJ",52.3077182080838
"46",23,"TX/FL/AZ",53.6577236138279
"47",24,"NY/NJ",52.1310259905165
"48",24,"TX/FL/AZ",53.6810584254953
"49",25,"NY/NJ",51.9543337729492
"50",25,"TX/FL/AZ",53.7043932371626
"51",26,"NY/NJ",51.777641555382
"52",26,"TX/FL/AZ",53.72772804883
"53",27,"NY/NJ",51.6009493378147
"54",27,"TX/FL/AZ",53.7510628604974
"55",28,"NY/NJ",51.4242571202474
"56",28,"TX/FL/AZ",53.7743976721648
"57",29,"NY/NJ",51.2475649026801
"58",29,"TX/FL/AZ",53.7977324838322
