"","source","change","n","percent"
"1","Partner/Spouse","Gained support",49,5.45
"2","Partner/Spouse","Lost support",41,4.56
"3","Child","Gained support",92,10.23
"4","Child","Lost support",29,3.23
"5","Parent","Gained support",63,7.01
"6","Parent","Lost support",178,19.8
"7","Other relatives","Gained support",45,5.01
"8","Other relatives","Lost support",224,24.92
"9","Friend","Gained support",35,3.89
"10","Friend","Lost support",312,34.71
"11","Neighbor","Gained support",60,6.67
"12","Neighbor","Lost support",140,15.57
"13","Co-worker","Gained support",24,2.67
"14","Co-worker","Lost support",270,30.03
"15","Religious group","Gained support",11,1.22
"16","Religious group","Lost support",168,18.69
"17","Spiritual figure","Gained support",19,2.11
"18","Spiritual figure","Lost support",46,5.12
"19","Parent support group","Gained support",38,4.23
"20","Parent support group","Lost support",159,17.69
"21","Health professional","Gained support",58,6.45
"22","Health professional","Lost support",139,15.46
