"","Week","percent","race","income","Date"
"1",2,16.2,"White","High Income","April 14"
"2",2,55.4,"White","Low Income","April 14"
"3",2,23.1,"LatinX","High Income","April 14"
"4",2,59.1,"LatinX","Low Income","April 14"
"5",2,39.3,"Black","High Income","April 14"
"6",2,60.3,"Black","Low Income","April 14"
"7",4,16.8,"White","High Income","April 28"
"8",4,55.9,"White","Low Income","April 28"
"9",4,24.7,"LatinX","High Income","April 28"
"10",4,59.7,"LatinX","Low Income","April 28"
"11",4,39,"Black","High Income","April 28"
"12",4,60.5,"Black","Low Income","April 28"
"13",6,17.3,"White","High Income","May 12"
"14",6,56.4,"White","Low Income","May 12"
"15",6,26.4,"LatinX","High Income","May 12"
"16",6,60.3,"LatinX","Low Income","May 12"
"17",6,38.7,"Black","High Income","May 12"
"18",6,60.7,"Black","Low Income","May 12"
"19",8,17.9,"White","High Income","May 26"
"20",8,56.9,"White","Low Income","May 26"
"21",8,28.1,"LatinX","High Income","May 26"
"22",8,60.9,"LatinX","Low Income","May 26"
"23",8,38.4,"Black","High Income","May 26"
"24",8,60.8,"Black","Low Income","May 26"
"25",10,18.5,"White","High Income","June 09"
"26",10,57.4,"White","Low Income","June 09"
"27",10,29.9,"LatinX","High Income","June 09"
"28",10,61.5,"LatinX","Low Income","June 09"
"29",10,38.1,"Black","High Income","June 09"
"30",10,61,"Black","Low Income","June 09"
"31",12,19.2,"White","High Income","June 23"
"32",12,57.9,"White","Low Income","June 23"
"33",12,31.7,"LatinX","High Income","June 23"
"34",12,62.1,"LatinX","Low Income","June 23"
"35",12,37.8,"Black","High Income","June 23"
"36",12,61.2,"Black","Low Income","June 23"
"37",14,19.8,"White","High Income","July 06"
"38",14,58.4,"White","Low Income","July 06"
"39",14,33.7,"LatinX","High Income","July 06"
"40",14,62.7,"LatinX","Low Income","July 06"
"41",14,37.4,"Black","High Income","July 06"
"42",14,61.4,"Black","Low Income","July 06"
"43",16,20.4,"White","High Income","July 20"
"44",16,58.9,"White","Low Income","July 20"
"45",16,35.6,"LatinX","High Income","July 20"
"46",16,63.2,"LatinX","Low Income","July 20"
"47",16,37.1,"Black","High Income","July 20"
"48",16,61.5,"Black","Low Income","July 20"
"49",18,21.1,"White","High Income",NA
"50",18,59.3,"White","Low Income",NA
"51",18,37.7,"LatinX","High Income",NA
"52",18,63.8,"LatinX","Low Income",NA
"53",18,36.8,"Black","High Income",NA
"54",18,61.7,"Black","Low Income",NA
"55",20,21.8,"White","High Income",NA
"56",20,59.8,"White","Low Income",NA
"57",20,39.7,"LatinX","High Income",NA
"58",20,64.4,"LatinX","Low Income",NA
"59",20,36.5,"Black","High Income",NA
"60",20,61.9,"Black","Low Income",NA
"61",22,22.5,"White","High Income",NA
"62",22,60.3,"White","Low Income",NA
"63",22,41.8,"LatinX","High Income",NA
"64",22,65,"LatinX","Low Income",NA
"65",22,36.2,"Black","High Income",NA
"66",22,62,"Black","Low Income",NA
"67",24,23.2,"White","High Income",NA
"68",24,60.8,"White","Low Income",NA
"69",24,44,"LatinX","High Income",NA
"70",24,65.5,"LatinX","Low Income",NA
"71",24,35.9,"Black","High Income",NA
"72",24,62.2,"Black","Low Income",NA
"73",26,24,"White","High Income",NA
"74",26,61.3,"White","Low Income",NA
"75",26,46.1,"LatinX","High Income",NA
"76",26,66.1,"LatinX","Low Income",NA
"77",26,35.6,"Black","High Income",NA
"78",26,62.4,"Black","Low Income",NA
"79",28,24.7,"White","High Income",NA
"80",28,61.7,"White","Low Income",NA
"81",28,48.3,"LatinX","High Income",NA
"82",28,66.7,"LatinX","Low Income",NA
"83",28,35.3,"Black","High Income",NA
"84",28,62.5,"Black","Low Income",NA
"85",30,25.5,"White","High Income",NA
"86",30,62.2,"White","Low Income",NA
"87",30,50.5,"LatinX","High Income",NA
"88",30,67.2,"LatinX","Low Income",NA
"89",30,35,"Black","High Income",NA
"90",30,62.7,"Black","Low Income",NA
