"Week","variable","Date","n","percent","label","moe"
0,"centerbased",2020-04-13,5582,28.538158366177,"Pre-pandemic",1.18470774916613
0,"other",2020-04-13,5582,27.427445360086,"Pre-pandemic",1.17041543392373
5,"centerbased",2020-05-04,528,3.97727272727273,"May 04",1.66693557262819
5,"other",2020-05-04,528,16.8560606060606,"May 04",3.19324654533336
6,"centerbased",2020-05-11,647,4.63678516228748,"May 11",1.62032771219243
6,"other",2020-05-11,647,19.9381761978362,"May 11",3.07864338577147
9,"centerbased",2020-06-01,1032,8.43023255813953,"June 01",1.69516530854547
9,"other",2020-06-01,1032,21.4147286821705,"June 01",2.50289764324753
10,"centerbased",2020-06-08,973,9.45529290853032,"June 08",1.83852135556077
10,"other",2020-06-08,973,22.0966084275437,"June 08",2.60699767425765
11,"centerbased",2020-06-15,1091,9.44087992667278,"June 15",1.73506612223286
11,"other",2020-06-15,1091,27.0394133822181,"June 15",2.63564241113944
12,"centerbased",2020-06-22,997,9.02708124373119,"June 22",1.77884551092415
12,"other",2020-06-22,997,26.1785356068205,"June 22",2.72880495329837
14,"centerbased",2020-07-06,1048,10.0190839694656,"July 06",1.81787762099368
14,"other",2020-07-06,1048,27.0038167938931,"July 06",2.68805458034848
15,"centerbased",2020-07-13,1030,13.1067961165049,"July 13",2.06100305820334
15,"other",2020-07-13,1030,28.4466019417476,"July 13",2.75529299713777
16,"centerbased",2020-07-20,1073,13.2339235787512,"July 20",2.02756833949131
16,"other",2020-07-20,1073,31.2208760484623,"July 20",2.77272675334627
17,"centerbased",2020-07-27,1096,12.3175182481752,"July 27",1.94566836741237
17,"other",2020-07-27,1096,32.4817518248175,"July 27",2.77256092982627
19,"centerbased",2020-08-11,1003,15.4536390827517,"August 11",2.23701268636541
19,"other",2020-08-11,1003,33.9980059820538,"August 11",2.93164146727197
21,"centerbased",2020-08-25,1165,14.7639484978541,"August 25",2.03707036615263
21,"other",2020-08-25,1165,31.7596566523605,"August 25",2.67332407604195
23,"centerbased",2020-09-08,1003,20.1395812562313,"September 08",2.48197049599599
23,"other",2020-09-08,1003,31.7048853439681,"September 08",2.87980789215104
25,"centerbased",2020-09-21,942,22.2929936305732,"September 21",2.65793836013797
25,"other",2020-09-21,942,31.3163481953291,"September 21",2.96171227623384
29,"centerbased",2020-10-20,1000,0,"October 20",0
29,"other",2020-10-20,1000,0,"October 20",0
