"Week","variable","Date","n","percent","label","moe"
0,"ffn",2020-04-13,5582,21.3006091006808,"Pre-pandemic",1.07409538868113
0,"homebased",2020-04-13,5582,7.47044070225726,"Pre-pandemic",0.689722690335764
5,"ffn",2020-05-04,528,12.8787878787879,"May 04",2.85718630462197
5,"homebased",2020-05-04,528,4.35606060606061,"May 04",1.74106423622844
6,"ffn",2020-05-11,647,15.919629057187,"May 11",2.81914693825624
6,"homebased",2020-05-11,647,4.17310664605873,"May 11",1.54091036751091
9,"ffn",2020-06-01,1032,16.9573643410853,"June 01",2.28952800834347
9,"homebased",2020-06-01,1032,4.94186046511628,"June 01",1.32237952780428
10,"ffn",2020-06-08,973,17.8828365878726,"June 08",2.40787991843097
10,"homebased",2020-06-08,973,4.72764645426516,"June 08",1.33353860850303
11,"ffn",2020-06-15,1091,23.006416131989,"June 15",2.49744221956961
11,"homebased",2020-06-15,1091,4.49129239230064,"June 15",1.22899706282745
12,"ffn",2020-06-22,997,21.9658976930792,"June 22",2.56995305264047
12,"homebased",2020-06-22,997,4.61384152457372,"June 22",1.30221444406216
14,"ffn",2020-07-06,1048,22.8053435114504,"July 06",2.5403137484249
14,"homebased",2020-07-06,1048,4.9618320610687,"July 06",1.31475698989318
15,"ffn",2020-07-13,1030,24.368932038835,"July 13",2.62183782003847
15,"homebased",2020-07-13,1030,5.04854368932039,"July 13",1.33712292085108
16,"ffn",2020-07-20,1073,27.1202236719478,"July 20",2.66015142839913
16,"homebased",2020-07-20,1073,4.84622553588071,"July 20",1.28490503598296
17,"ffn",2020-07-27,1096,28.1934306569343,"July 27",2.66383208790547
17,"homebased",2020-07-27,1096,5.01824817518248,"July 27",1.29254880247954
19,"ffn",2020-08-11,1003,29.9102691924227,"August 11",2.83362882487068
19,"homebased",2020-08-11,1003,5.18444666001994,"August 11",1.3721342410538
21,"ffn",2020-08-25,1165,28.068669527897,"August 25",2.58025761808733
21,"homebased",2020-08-25,1165,4.63519313304721,"August 25",1.20731637952192
23,"ffn",2020-09-08,1003,26.0219341974078,"September 08",2.71535663635486
23,"homebased",2020-09-08,1003,6.580259222333,"September 08",1.53442771807085
25,"ffn",2020-09-21,942,26.4331210191083,"September 21",2.81608661275527
25,"homebased",2020-09-21,942,6.26326963906582,"September 21",1.54734114806208
29,"ffn",2020-10-20,1000,0,"October 20",0
29,"homebased",2020-10-20,1000,0,"October 20",0
