"","single_cat","variable","percent","lowerci","upperci"
"1","Dual parent","childcare",11.5,10.5,12.4
"2","Dual parent","emotional",14.8,13.8,15.9
"3","Dual parent","food",25.3,24.1,26.4
"4","Dual parent","healthcare",14.6,13.6,15.7
"5","Dual parent","house",26.5,25.3,27.7
"6","Dual parent","other",3.9,3.3,4.5
"7","Dual parent","social",13.6,12.6,14.6
"8","Dual parent","utilities",30.4,29.2,31.6
"9","Single parent","childcare",35.5,31.6,39.5
"10","Single parent","emotional",32,28,36
"11","Single parent","food",46.7,42.9,50.4
"12","Single parent","healthcare",24.7,20.9,28.6
"13","Single parent","house",50.6,46.9,54.2
"14","Single parent","other",15.3,11.9,18.8
"15","Single parent","social",30.2,26.2,34.1
"16","Single parent","utilities",56.5,53.2,59.9
"17",NA,"childcare",0,0,0
"18",NA,"emotional",0,0,0
"19",NA,"food",25,-17.4,67.4
"20",NA,"healthcare",0,0,0
"21",NA,"house",40,-2.9,82.9
"22",NA,"other",0,0,0
"23",NA,"social",25,-17.4,67.4
"24",NA,"utilities",25,-17.4,67.4
