"","s27_7","s30_24","s34_24","s27_13","s27_23","s30_9","s34_9","s30_3","s30_7","s27_6","s34_7","s30_22","s27_24","s30_27","s34_3","s27_3","s34_25","s27_18","s30_18","s34_22","s27_8","s30_17","s34_20","s30_30","s30_20","s27_20","s34_30","s30_6","s34_6","s27_12","s30_12","s34_28","s27_2","s30_2","s34_2","s34_12","s27_1","s34_21","s34_19","s27_17","s34_13","s30_13","s27_9","s34_17","s30_11","s27_11","s34_11","s34_31","s27_21","s30_21","s30_14","s34_32","s30_4","s34_15","s30_1","s27_19","s30_28","s34_1","s34_27","s27_15","s30_15","s30_8","s34_8","s27_27","s34_34","s27_26","s30_23","s30_29","s34_23","s34_16","s30_26","s34_26","document","s30_10","s34_18","s34_10","s30_16","s27_25","s34_29","s27_10","s34_5","s27_5","s30_5","s27_4","s34_4","s30_25","s27_22","s27_14","s34_14","s30_19","s27_16","s34_33"
"s27_7",1,0.696259360088889,0.821851465110433,0.378928016582459,0.16694739924731,0.198882163385603,0.355238603304231,0.22793118425513,0.202297468704264,0.306959562371316,0.289965174039114,-0.0956495926507901,-0.164193576889295,-0.125349731602943,-0.134105065858523,0.0176117624526994,0.0659840332294664,-0.00262874177115572,-0.146216430548078,-0.0527906988538217,0.149975322266427,0.113663362245546,0.234137990341403,0.111488171985366,0.0810336517451953,0.0505113594811476,0.109677751957613,0.0433859087755594,-0.00315956026620557,0.0596668199365431,0.0511944318864957,-0.128659658839562,-0.146049572156848,-0.106566389532364,-0.134946128040649,-0.0477173766368574,0.0253772842065507,-0.0632776595119441,-0.039508092896738,0.232693543039951,0.257289633318446,0.17002429276544,0.0164827854770984,0.0807571953842532,-0.0597681202255737,-0.0487450530971592,-0.104700520185076,-0.162239037020496,-0.337678017875648,-0.173039313014737,-0.133735784784541,-0.280289358288308,-0.162801483297789,-0.107864318826856,0.0055744862660234,-0.0498805047135885,-0.0768943008412868,-0.0841276977377677,-0.00131260563060704,-0.17544548101634,0.0161480236361983,-0.0640359465300024,-0.0499949062509191,-0.056752399942593,-0.0122569799232094,-0.272468827129686,-0.167095012015886,-0.105394868598478,-0.145346538619748,-0.179088630359264,-0.160001832376015,-0.229390064166049,-0.075109186056617,-0.0848425913558746,-0.00139968805434953,-0.166708592617584,-0.199670520176412,-0.225956106310811,-0.241925168265643,-0.195612047198816,-0.265727599336116,0.162742335241378,0.11931574577821,-0.212168739215564,-0.174822495365083,-0.180063574392336,-0.261272990488773,-0.353380141540405,-0.288380306939351,-0.0994385375153256,-0.0578958314596468,-0.0122630377367646
"s30_24",0.696259360088889,1,0.849675119478645,0.343647149209797,0.152064652880638,0.282860868144845,0.338400455628283,-0.0396902306131516,-0.0403143692931456,0.0452420320525513,0.00730686228978023,-0.164447253010908,-0.155742133106372,-0.18401932864007,-0.177382498964771,-0.0955021959154097,-0.0403261701697252,-0.0766562524007596,-0.191984626483083,-0.123951648795054,0.1164960162112,0.155951284389486,0.233078742441169,0.0468321482307084,-0.00715246572296432,-0.00169142852067957,0.0390880961493622,0.03192536304489,-0.027590056421195,-0.0640886242641053,-0.0137584042629562,-0.137709078645285,-0.104039775533814,-0.100911648780527,-0.104704670656848,-0.00745408650344846,0.036078563718119,-0.024335245555112,0.0072374841599463,0.189013583215879,0.273093228076169,0.178733850255064,0.0772010541144133,0.114841432761598,-0.0509805393836289,-0.0105672710421826,-0.056669110216987,-0.170131428088994,-0.241106768544608,-0.153298224555458,-0.120639925269108,-0.220251966301977,-0.158697913336441,0.0294359004602634,-0.00180374808100438,-0.0797976517691256,-0.122415273403235,-0.110273075133795,0.156166629237775,0.116141745252329,0.219181480139004,-0.11160635444684,-0.0889761877235318,-0.0670496320084623,-0.063293035640269,-0.130962272089284,-0.157995495897958,-0.0946290836571706,-0.119822505382099,-0.0615503355965454,-0.10321724930843,-0.151507967617101,-0.055423032162875,-0.0546116282486061,-0.00993653574385219,-0.0838657496846224,-0.16249677964045,-0.131329009699494,-0.163261912911809,-0.100913440172123,-0.183965775057213,0.149532389311588,0.121522993763529,-0.110147695636905,-0.0913495443961197,-0.177785071296213,-0.20323754769638,-0.229701667348207,-0.230499668759274,-0.0587805981384114,-0.0894907993285705,-0.11516365661891
"s34_24",0.821851465110433,0.849675119478645,1,0.432691293760309,0.243006160828506,0.318312025199107,0.476779181473648,-0.0414860584844378,-0.00312061634723414,0.0878559785339556,0.0445627020501907,-0.135604743888289,-0.145820801825846,-0.158323066465809,-0.166738713964752,-0.045420774978918,0.0277450716990239,-0.0279573354397898,-0.161106358798896,-0.0838600832987434,0.170581539605366,0.189111992767733,0.311477945701025,0.0473069057310295,0.00215013795701181,0.0403925526233916,0.0653422921418989,0.0112812481134046,-0.0425097709736207,-0.033622646860805,-0.0064970220579386,-0.172000909618828,-0.125943461080402,-0.102977862062543,-0.13291724788833,-0.0454683239635177,0.00254806390774704,-0.044347133443909,-0.068333441667779,0.177808275502111,0.293726703041106,0.220828796198588,0.0693316261250168,0.119887213883147,-0.06264299991582,-0.0161846129079844,-0.113799858873945,-0.201653786694715,-0.265624431668144,-0.154812017768926,-0.12866526203738,-0.297555595135594,-0.164460210607281,-0.0910847602558567,-0.012144812716914,-0.0996298286054579,-0.106689755024979,-0.126010688962851,0.0251185013113602,-0.0983328986512135,0.0895800724060817,-0.0945905667363021,-0.0674813278232121,-0.0773854773663268,-0.083504088415984,-0.163511145491027,-0.157953324911071,-0.0992843176972091,-0.143219138880314,-0.16475394538897,-0.119409662810304,-0.193825485606672,-0.0742978148939295,-0.0591515518626191,0.0308808695507977,-0.137312677861517,-0.174409896208496,-0.167212273902217,-0.200345903623735,-0.145023064039388,-0.241969652458302,0.140123080628488,0.115271888317015,-0.161205110927977,-0.166709156573929,-0.176136810515432,-0.259294581262257,-0.283175553153622,-0.304530749932674,-0.0865328807302163,-0.0885858624028529,-0.132382662081322
"s27_13",0.378928016582459,0.343647149209797,0.432691293760309,1,0.563043537079876,0.535863313840874,0.635012359358484,-0.131518202260481,-0.11003920311809,-0.159351714714551,-0.0815758647975345,-0.0732983356574038,0.0128790641594362,-0.0556586233257017,-0.0116090939559541,-0.0382329834716433,-0.0552975624847228,-0.065920642259185,-0.191630936714687,-0.105431591106614,0.132385870282255,0.0896369537407137,0.159363418977165,-0.0349914949452523,-0.1069631094416,0.040457301011988,0.00570154963384494,-0.133935213729517,-0.118889697934686,-0.185200997908603,-0.131056488697276,-0.10722100385905,-0.137054630649544,-0.032857032375,-0.0791544496898759,-0.00167700208323092,0.0272199760767518,0.0643676697283014,-0.0308049966624378,0.000929254407100898,0.0508707499214699,0.12750464252768,0.164881652229804,0.0933567305134489,-0.00785373700058382,0.0579874501803987,0.0556944676687212,-0.113045982814991,-0.188543865662633,-0.0923446049573989,0.144019239838699,-0.0622352186400407,0.00820585908010084,0.00834295789230134,0.0398337351429544,0.0327276484721445,0.0550739491793119,0.017385644667453,0.00443581745097644,-0.0421831997063807,0.0298789590351161,-0.0356054487683284,-0.0445869146923896,0.0230289772146392,-0.102220199628894,0.0713984005862624,-0.0799010372924711,-0.0505212535848773,-0.000986133472919056,-0.0868070770914413,-0.13613792511258,-0.134593220017672,-0.123742775325498,-0.103714495773042,0.0756785780557733,-0.180605543249109,-0.201165881477367,-0.235874579755446,-0.228748070436915,-0.242886740937763,-0.214298885383745,-0.0302103910730454,-0.00578740726303714,-0.0593081790638082,-0.0598279158163208,-0.192118628258272,-0.358155516461714,-0.255618662465434,-0.261957126226127,0.0219083802947311,0.0361141755717355,-0.016357071191193
"s27_23",0.16694739924731,0.152064652880638,0.243006160828506,0.563043537079876,1,0.687687761332645,0.735911066910008,-0.165305444961195,-0.185193647589572,-0.229261913507867,-0.145341058080769,-0.174399911632889,-0.198320222969169,-0.195428803884055,-0.17129359742556,-0.160819506925485,-0.0904005266147507,-0.144162565153763,-0.176595911006306,-0.162894510026345,0.0545946500141155,0.0284207374775736,0.088069461211762,-0.0907887847460971,-0.124919172542462,0.160116781066426,-0.0370035521326937,-0.142572651510197,-0.171933211132798,-0.212506541935578,-0.158026214896672,-0.0993682292459261,-0.139910237692926,-0.0966392369138734,-0.122091840351674,-0.0504055198312912,-0.0963935614115033,-0.0817219069630989,-0.0371112789357955,-0.115722369089413,-0.0518478057766992,-0.0131024854187835,0.0847219068473214,0.0218580625786057,-0.0220907837685898,-0.0341429014634543,-0.00068229396636811,-0.161782704092268,-0.147783450931708,-0.112278427195044,-0.0308937095244288,-0.0910134263555585,-0.0305813149323446,-0.116780837400679,-0.0556159729507339,0.0343858860505936,0.179538096003862,0.160196328197081,-0.0830959642231696,-0.0409372752448687,0.0127948406444978,-0.138791649812546,-0.114955768999287,-0.219315953471965,-0.181411453684705,0.374201156110196,0.0814069189340451,0.0658994477858892,0.204399034928729,0.0369013640128658,0.0747653887233025,0.144306928251976,-0.0239437022236496,-0.0132948388037705,0.0570668728864098,-0.0630841961549438,-0.0206501266119291,-0.0541123162053016,-0.0654425935804789,-0.0785846934469842,-0.0401816317507165,-0.0788845565241903,-0.00354531774827532,-0.0679892573070818,-0.00254255218911453,-0.133750061458637,-0.277457779509848,-0.139481906939191,-0.182366879752327,-0.00967033177825672,-0.00289995277231882,-0.0813839408545513
"s30_9",0.198882163385603,0.282860868144845,0.318312025199107,0.535863313840874,0.687687761332645,1,0.837086460830415,-0.169996555033072,-0.192757219795864,-0.173317518235544,-0.113154074100365,-0.145757110770087,-0.110981865767983,-0.156091336572556,-0.13014477654945,-0.114673686178256,-0.0910370892071487,-0.12866754956677,-0.210312701599521,-0.152237489838889,0.0166389133506627,0.0204208775846359,0.0639411071307781,-0.133838242858685,-0.172697603155151,-0.0261787163559204,-0.0877206854802461,-0.140830927480605,-0.132570735259534,-0.162621115267688,-0.177427964174668,-0.162814742887854,-0.102783626580198,-0.107233021031363,-0.1151320909216,-0.0883407592943451,-0.022436484725019,-0.0246818882598842,0.0158749994410666,-0.0451395007273297,0.0321328441289135,0.0424622963238006,0.128718263018327,0.098146348965111,-0.0709590118040559,0.0436673130597451,-0.000874018800426165,-0.14421641060365,-0.123091535361058,-0.0919185248549761,-0.0263760711382725,-0.126040997493669,-0.0790643854892451,-0.0195098898150061,-0.0564446093760581,-0.0426006660119673,-0.0678391083729093,-0.0580744814894615,0.050031811905485,0.141674541996593,0.113025765195374,-0.134271606300245,-0.104523655605889,-0.117304497507416,-0.222305819920421,0.0918594040830335,-0.119062761398802,-0.0822272827650613,-0.0568097248622953,-0.00108866275172478,-0.0883024697476557,-0.0634851880835256,-0.02849687780916,-0.0420826292447485,0.0437545776505323,-0.0699170707672815,-0.103246869896823,-0.0782353131659517,-0.0937281678856019,-0.0802320881388318,-0.0692430990405788,0.0105329554112279,0.0227732694378041,-0.0321593423544068,0.0160022021389072,-0.154976002131907,-0.21512555951016,-0.150801196601004,-0.180363249742825,-0.00753199337946305,-0.0468561781460908,-0.0616818343493988
"s34_9",0.355238603304231,0.338400455628283,0.476779181473648,0.635012359358484,0.735911066910008,0.837086460830415,1,-0.0939670450849334,-0.0784882025990617,-0.0886400503133917,-0.0339253611999561,-0.12411356917236,-0.106430426911746,-0.138344717258392,-0.121513079906794,-0.0817449108059268,-0.0515936280472059,-0.103310716858384,-0.195645597005596,-0.147869230649943,0.0602637907164176,0.0551881854776054,0.129952689972926,-0.0835816681804108,-0.10863422738511,0.0445213787260235,-0.0585327423733164,-0.121575662017107,-0.15965677481538,-0.136814653705507,-0.130292277496738,-0.216546191317551,-0.133451268643662,-0.114337830733151,-0.154435374476466,-0.115141780431848,-0.0660045044776181,-0.0683888946252498,-0.109006274375595,-0.0460734894875505,-0.00747141499931224,0.0429273313767799,0.0760488985827642,0.0493322221703013,-0.0711256081552666,-0.0299254676909926,-0.0566691962688305,-0.191503685585019,-0.184432967017123,-0.126075553700295,-0.0447279343738589,-0.208100866993855,-0.106922243205244,-0.115781540358996,-0.0556727146298271,-0.042218937028425,-0.0898070228953555,-0.109934944583136,0.00773765101837473,-0.0591162399363718,0.0336356658347051,-0.119983270251141,-0.0903741173164071,-0.11376393686397,-0.223376357972426,0.0572294839336349,-0.119063176066434,-0.0611732483020456,-0.06078930089124,-0.120972210311084,-0.0649780267117519,-0.0927275886681754,-0.0530279849717075,-0.0310966423643426,0.102410335832492,-0.123437803510137,-0.11613418434731,-0.101687516882934,-0.123910154741159,-0.110877340150438,-0.135579789088766,-0.0269571770340927,-0.0129645294301641,-0.0946262445645391,-0.0812392074210391,-0.162358393027237,-0.266189209110518,-0.184106847382803,-0.231548497555248,-0.021124987225288,0.00938403530823296,-0.00959123300118905
"s30_3",0.22793118425513,-0.0396902306131516,-0.0414860584844378,-0.131518202260481,-0.165305444961195,-0.169996555033072,-0.0939670450849334,1,0.723551710214222,0.690798341790234,0.814470556367648,0.253919300111138,0.0887130409101305,0.137824668167437,0.0859356088497226,0.15321759976785,0.123556132406126,-0.00214597950355358,0.00869467168149882,0.0469598064277379,-0.148255744438123,-0.210682406490113,-0.155662626073801,0.232869929644301,0.289256330970238,0.00903951601189426,0.070167470643934,-0.0145120642647524,0.0446700060193592,0.190428926891726,0.133600874405461,-0.0250569553567888,-0.113539351266132,-0.109996612563688,-0.123936765230501,-0.170017618922339,-0.115572015586969,-0.180929706278247,-0.163057495766071,-0.0775770551528961,-0.185657971497393,-0.260282857632303,-0.20875880396907,-0.178100085566456,-0.0319704032130728,-0.10509187160853,-0.126688775345212,0.0132687650703194,-0.0325877252399006,-0.0255148220927699,-0.122011877849674,-0.109738309232771,-0.092180823409106,-0.145449242121503,-0.052970791928353,0.089454939528934,-0.108870434029813,-0.139185237751757,0.048552048414196,-0.123511084556968,-0.108645461569412,-0.00766426532904238,-0.0513550799622502,0.135817507435303,0.112631198520233,-0.165481215298469,-0.144605658967605,-0.157658935157872,-0.182765763264742,-0.121977937342765,-0.155958437381416,-0.160101034557992,-0.0139803130850566,-0.107521569300716,-0.0708780148641755,-0.1304281101159,-0.129579038941281,-0.147873412489241,-0.0961349710302766,-0.15494489991595,-0.0382572047360345,-0.100215188724467,-0.193247925084808,-0.136029821130835,-0.125657578970853,-0.0438180307346463,0.183286641455829,0.00771707237246155,0.133390748801667,-0.0944972261112973,0.139333182729852,0.479531439722764
"s30_7",0.202297468704264,-0.0403143692931456,-0.00312061634723414,-0.11003920311809,-0.185193647589572,-0.192757219795864,-0.0784882025990617,0.723551710214222,1,0.744787525706108,0.794253625941646,0.160446644767559,0.07588755784988,0.111977504944614,0.0709641517837176,0.193128355511788,0.205966084624694,0.0891346641717658,0.0331488778533823,0.0989842933373788,-0.0518071783765993,-0.0849964598760633,-0.0283513080966816,0.230061997930654,0.317346734412008,0.0623014137281273,0.167701028531467,0.00768513713244133,0.0562664631067021,0.2172313436894,0.193243036300927,-0.038365917579049,-0.107882693057834,-0.0899756862816734,-0.11603754456399,-0.109254227165679,-0.0892160523794371,-0.153564396719543,-0.150383371354175,-0.0173976414339347,-0.165897253951746,-0.163630293494353,-0.142644028645444,-0.0941873228843959,-0.0447117781372126,-0.0681311841705799,-0.0977081282155037,-0.0134907460708273,-0.0601765511699146,-0.0841939216001521,-0.143482741362664,-0.117925013769208,-0.132434751831905,-0.137960839573262,0.000991770702282101,0.119088333313091,-0.120285378314092,-0.144346011995591,-0.00873903184548745,-0.203188074733009,-0.213362579090255,0.0372958644626862,0.0067649690994268,0.148690660441166,0.141842255203774,-0.212077097393907,-0.147856381415787,-0.117040710903168,-0.158973585310937,-0.183299469505157,-0.167378967461713,-0.21481074084041,-0.0216269942438255,-0.146536276254596,-0.0467150448055762,-0.189033856685763,-0.192806802810107,-0.198727798064682,-0.165727388013878,-0.208372945710879,-0.144102840053806,-0.133868617112851,-0.218682598522809,-0.170565022959834,-0.200957631245635,-0.109707538180751,0.0529589652881873,-0.0473755562713743,0.0205639849208825,-0.0662982447977374,0.139176177655082,0.436769452272751
"s27_6",0.306959562371316,0.0452420320525513,0.0878559785339556,-0.159351714714551,-0.229261913507867,-0.173317518235544,-0.0886400503133917,0.690798341790234,0.744787525706108,1,0.853395405899552,0.155406792880251,0.000450804911979946,0.0262807664499082,-0.00438602361086252,0.0951397825966134,0.100427689865911,0.020675315634158,-0.0106965077968228,0.0595454613877213,-0.0766169609723759,-0.0819191126782609,-0.0124752379157436,0.212672650149725,0.328371254725807,0.108860962169867,0.179148730850046,0.146009224480014,0.192796670140103,0.288676315177777,0.193298952380084,0.00447498295133644,-0.0904346314261079,-0.0681041963345828,-0.0728659172300158,-0.0495738327070615,-0.031304452927056,-0.115076300970984,-0.107689693247373,0.070729416516002,-0.0268186793527775,-0.0822573108071036,-0.159436337539608,-0.0537234443051947,-0.0460599853342544,-0.0742044112770961,-0.0910075793829312,0.0500196411591527,-0.052308678968956,-0.0234397413852638,-0.128990013504632,-0.150186496049354,-0.0949348602018288,-0.0799989633498786,-0.00597428603131173,0.0991461145450754,-0.119051897449769,-0.121378472722912,0.00242527896128722,-0.190690910011174,-0.139818673829559,0.0260044342205776,-0.0237117303098234,0.0944011708172019,0.147530250585473,-0.318389128395028,-0.171402475140212,-0.0619673901512135,-0.146391004798242,-0.149043090905437,-0.186487494477071,-0.263555265276371,-0.0644679054458867,-0.138906267446407,-0.0915112293406444,-0.183990550099815,-0.222146611198029,-0.253668755298989,-0.22365508616174,-0.243511297954662,-0.224450034681936,-0.0552348792464606,-0.140331419831745,-0.189784979858972,-0.196346407340734,-0.0634622032382489,0.148457821168362,-0.0888989393700908,0.00867667384324026,-0.085212436551484,0.0516967234725234,0.285421646536579
