"","Week","black","problems"
"1",1,"Black/African American",41.92
"2",1,"Entire Sample",44.66
"3",2,"Black/African American",39.63
"4",2,"Entire Sample",43.54
"5",3,"Black/African American",37.34
"6",3,"Entire Sample",42.41
"7",4,"Black/African American",35.05
"8",4,"Entire Sample",41.28
"9",5,"Black/African American",32.76
"10",5,"Entire Sample",40.15
"11",6,"Black/African American",30.47
"12",6,"Entire Sample",39.03
"13",7,"Black/African American",31.54
"14",7,"Entire Sample",38.74
"15",8,"Black/African American",32.61
"16",8,"Entire Sample",38.46
"17",9,"Black/African American",33.69
"18",9,"Entire Sample",38.18
"19",10,"Black/African American",34.76
"20",10,"Entire Sample",37.9
