"","Week","black","problems"
"1",1,"Black/African American",55.38
"2",1,"Entire Sample",58.4
"3",2,"Black/African American",53.25
"4",2,"Entire Sample",57.33
"5",3,"Black/African American",51.12
"6",3,"Entire Sample",56.25
"7",4,"Black/African American",48.99
"8",4,"Entire Sample",55.18
"9",5,"Black/African American",46.86
"10",5,"Entire Sample",54.1
"11",6,"Black/African American",44.73
"12",6,"Entire Sample",53.03
"13",7,"Black/African American",45.52
"14",7,"Entire Sample",52.36
"15",8,"Black/African American",46.31
"16",8,"Entire Sample",51.69
"17",9,"Black/African American",47.1
"18",9,"Entire Sample",51.02
"19",10,"Black/African American",47.89
"20",10,"Entire Sample",50.34
