"","Week","black","problems"
"1",1,"Black/African American",54.92
"2",1,"Entire Sample",58.21
"3",2,"Black/African American",50.76
"4",2,"Entire Sample",54.57
"5",3,"Black/African American",50.86
"6",3,"Entire Sample",53.84
"7",4,"Black/African American",47.79
"8",4,"Entire Sample",51.93
"9",5,"Black/African American",43.75
"10",5,"Entire Sample",53.09
"11",6,"Black/African American",45.71
"12",6,"Entire Sample",54.09
"13",7,"Black/African American",53.95
"14",7,"Entire Sample",53.57
"15",8,"Black/African American",48.91
"16",8,"Entire Sample",51.96
"17",9,"Black/African American",48.6
"18",9,"Entire Sample",53.81
"19",10,"Black/African American",48.53
"20",10,"Entire Sample",51.51
