"","Week","child3","problems"
"1",1,"3+ Children",32.58
"2",1,"Entire Sample",29
"3",2,"3+ Children",32.6
"4",2,"Entire Sample",30.21
"5",3,"3+ Children",30.7
"6",3,"Entire Sample",30.01
"7",4,"3+ Children",27.17
"8",4,"Entire Sample",29.69
"9",5,"3+ Children",30.11
"10",5,"Entire Sample",25.68
"11",6,"3+ Children",35.7
"12",6,"Entire Sample",28.18
"13",7,"3+ Children",32.53
"14",7,"Entire Sample",27.63
"15",8,"3+ Children",32.49
"16",8,"Entire Sample",25.63
"17",9,"3+ Children",30.86
"18",9,"Entire Sample",26.67
"19",10,"3+ Children",31.52
"20",10,"Entire Sample",25.75
