"","Week","child3","problems"
"1",1,"3+ Children",60.87
"2",1,"Entire Sample",57.29
"3",2,"3+ Children",59.96
"4",2,"Entire Sample",56.11
"5",3,"3+ Children",59.05
"6",3,"Entire Sample",54.93
"7",4,"3+ Children",58.14
"8",4,"Entire Sample",53.76
"9",5,"3+ Children",57.23
"10",5,"Entire Sample",52.58
"11",6,"3+ Children",56.32
"12",6,"Entire Sample",51.4
"13",7,"3+ Children",56.17
"14",7,"Entire Sample",50.7
"15",8,"3+ Children",56.02
"16",8,"Entire Sample",49.99
"17",9,"3+ Children",55.87
"18",9,"Entire Sample",49.29
"19",10,"3+ Children",55.72
"20",10,"Entire Sample",48.59
"21",NA,"3+ Children",NA
"22",NA,"Entire Sample",NA
