"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",57.08
"2",1,"Entire Sample",42.22
"3",2,"Caregivers of children with disabilities",54.82
"4",2,"Entire Sample",41.18
"5",3,"Caregivers of children with disabilities",52.57
"6",3,"Entire Sample",40.15
"7",4,"Caregivers of children with disabilities",50.31
"8",4,"Entire Sample",39.11
"9",5,"Caregivers of children with disabilities",48.05
"10",5,"Entire Sample",38.07
"11",6,"Caregivers of children with disabilities",45.79
"12",6,"Entire Sample",37.04
"13",7,"Caregivers of children with disabilities",45.78
"14",7,"Entire Sample",36.9
"15",8,"Caregivers of children with disabilities",45.76
"16",8,"Entire Sample",36.77
"17",9,"Caregivers of children with disabilities",45.75
"18",9,"Entire Sample",36.64
"19",10,"Caregivers of children with disabilities",45.74
"20",10,"Entire Sample",36.51
"21",NA,"Caregivers of children with disabilities",NA
"22",NA,"Entire Sample",NA
