"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",52.64
"2",1,"Entire Sample",40.24
"3",2,"Caregivers of children with disabilities",56.53
"4",2,"Entire Sample",38.41
"5",3,"Caregivers of children with disabilities",47.62
"6",3,"Entire Sample",37
"7",4,"Caregivers of children with disabilities",45.47
"8",4,"Entire Sample",36.44
"9",5,"Caregivers of children with disabilities",46.49
"10",5,"Entire Sample",36.57
"11",6,"Caregivers of children with disabilities",41.79
"12",6,"Entire Sample",35.01
"13",7,"Caregivers of children with disabilities",40.48
"14",7,"Entire Sample",36.24
"15",8,"Caregivers of children with disabilities",38.64
"16",8,"Entire Sample",34.7
"17",9,"Caregivers of children with disabilities",47.32
"18",9,"Entire Sample",38.92
"19",10,"Caregivers of children with disabilities",39.93
"20",10,"Entire Sample",35.82
