"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",48.12
"2",1,"Entire Sample",30.31
"3",2,"Caregivers of children with disabilities",46.13
"4",2,"Entire Sample",30.28
"5",3,"Caregivers of children with disabilities",44.13
"6",3,"Entire Sample",30.25
"7",4,"Caregivers of children with disabilities",42.14
"8",4,"Entire Sample",30.23
"9",5,"Caregivers of children with disabilities",40.15
"10",5,"Entire Sample",30.2
"11",6,"Caregivers of children with disabilities",38.16
"12",6,"Entire Sample",30.18
"13",7,"Caregivers of children with disabilities",37.64
"14",7,"Entire Sample",29.36
"15",8,"Caregivers of children with disabilities",37.13
"16",8,"Entire Sample",28.54
"17",9,"Caregivers of children with disabilities",36.62
"18",9,"Entire Sample",27.72
"19",10,"Caregivers of children with disabilities",36.1
"20",10,"Entire Sample",26.9
