"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",44.76
"2",1,"Entire Sample",27.67
"3",2,"Caregivers of children with disabilities",44.75
"4",2,"Entire Sample",29.37
"5",3,"Caregivers of children with disabilities",46.23
"6",3,"Entire Sample",28.58
"7",4,"Caregivers of children with disabilities",37.67
"8",4,"Entire Sample",28.36
"9",5,"Caregivers of children with disabilities",32.03
"10",5,"Entire Sample",25.86
"11",6,"Caregivers of children with disabilities",42.49
"12",6,"Entire Sample",27.98
"13",7,"Caregivers of children with disabilities",32.2
"14",7,"Entire Sample",28.03
"15",8,"Caregivers of children with disabilities",31.54
"16",8,"Entire Sample",26.51
"17",9,"Caregivers of children with disabilities",36.67
"18",9,"Entire Sample",26.4
"19",10,"Caregivers of children with disabilities",36
"20",10,"Entire Sample",25.89
