"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",58.93
"2",1,"Entire Sample",44.19
"3",2,"Caregivers of children with disabilities",56.93
"4",2,"Entire Sample",44.43
"5",3,"Caregivers of children with disabilities",54.93
"6",3,"Entire Sample",44.68
"7",4,"Caregivers of children with disabilities",52.93
"8",4,"Entire Sample",44.92
"9",5,"Caregivers of children with disabilities",50.93
"10",5,"Entire Sample",45.17
"11",6,"Caregivers of children with disabilities",48.92
"12",6,"Entire Sample",45.41
"13",7,"Caregivers of children with disabilities",48.53
"14",7,"Entire Sample",44.84
"15",8,"Caregivers of children with disabilities",48.13
"16",8,"Entire Sample",44.28
"17",9,"Caregivers of children with disabilities",47.73
"18",9,"Entire Sample",43.71
"19",10,"Caregivers of children with disabilities",47.33
"20",10,"Entire Sample",43.14
