"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",56.34
"2",1,"Entire Sample",41.28
"3",2,"Caregivers of children with disabilities",54.63
"4",2,"Entire Sample",41.12
"5",3,"Caregivers of children with disabilities",56.6
"6",3,"Entire Sample",41.86
"7",4,"Caregivers of children with disabilities",56
"8",4,"Entire Sample",41.37
"9",5,"Caregivers of children with disabilities",49.51
"10",5,"Entire Sample",46.81
"11",6,"Caregivers of children with disabilities",50
"12",6,"Entire Sample",45.23
"13",7,"Caregivers of children with disabilities",42.9
"14",7,"Entire Sample",44.34
"15",8,"Caregivers of children with disabilities",45.16
"16",8,"Entire Sample",44.17
"17",9,"Caregivers of children with disabilities",46.82
"18",9,"Entire Sample",45.24
"19",10,"Caregivers of children with disabilities",48.48
"20",10,"Entire Sample",44.38
