"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",66.71
"2",1,"Entire Sample",56.63
"3",2,"Caregivers of children with disabilities",65.07
"4",2,"Entire Sample",55.58
"5",3,"Caregivers of children with disabilities",63.43
"6",3,"Entire Sample",54.53
"7",4,"Caregivers of children with disabilities",61.8
"8",4,"Entire Sample",53.48
"9",5,"Caregivers of children with disabilities",60.16
"10",5,"Entire Sample",52.44
"11",6,"Caregivers of children with disabilities",58.52
"12",6,"Entire Sample",51.39
"13",7,"Caregivers of children with disabilities",58.67
"14",7,"Entire Sample",50.75
"15",8,"Caregivers of children with disabilities",58.81
"16",8,"Entire Sample",50.1
"17",9,"Caregivers of children with disabilities",58.96
"18",9,"Entire Sample",49.46
"19",10,"Caregivers of children with disabilities",59.1
"20",10,"Entire Sample",48.82
