"","Week","disability","problems"
"1",1,"Caregivers of children with disabilities",70.07
"2",1,"Entire Sample",56.09
"3",2,"Caregivers of children with disabilities",62.04
"4",2,"Entire Sample",53.59
"5",3,"Caregivers of children with disabilities",64.15
"6",3,"Entire Sample",52.47
"7",4,"Caregivers of children with disabilities",58
"8",4,"Entire Sample",51.05
"9",5,"Caregivers of children with disabilities",54.9
"10",5,"Entire Sample",52.52
"11",6,"Caregivers of children with disabilities",62.68
"12",6,"Entire Sample",52.53
"13",7,"Caregivers of children with disabilities",60.51
"14",7,"Entire Sample",52.72
"15",8,"Caregivers of children with disabilities",56.45
"16",8,"Entire Sample",51.15
"17",9,"Caregivers of children with disabilities",61.14
"18",9,"Entire Sample",52.45
"19",10,"Caregivers of children with disabilities",58.75
"20",10,"Entire Sample",50.43
