"","Week","poverty150","problems"
"1",1,"Low Income",46.46
"2",1,"Entire Sample",43.68
"3",2,"Low Income",45.26
"4",2,"Entire Sample",42.58
"5",3,"Low Income",44.07
"6",3,"Entire Sample",41.48
"7",4,"Low Income",42.88
"8",4,"Entire Sample",40.37
"9",5,"Low Income",41.69
"10",5,"Entire Sample",39.27
"11",6,"Low Income",40.49
"12",6,"Entire Sample",38.17
"13",7,"Low Income",40.58
"14",7,"Entire Sample",37.71
"15",8,"Low Income",40.67
"16",8,"Entire Sample",37.25
"17",9,"Low Income",40.76
"18",9,"Entire Sample",36.79
"19",10,"Low Income",40.85
"20",10,"Entire Sample",36.32
