"","Week","poverty150","problems"
"1",1,"Low Income",45.81
"2",1,"Entire Sample",42.61
"3",2,"Low Income",40.48
"4",2,"Entire Sample",40.31
"5",3,"Low Income",42.92
"6",3,"Entire Sample",35.79
"7",4,"Low Income",40.2
"8",4,"Entire Sample",35.79
"9",5,"Low Income",36.73
"10",5,"Entire Sample",38.58
"11",6,"Low Income",36.96
"12",6,"Entire Sample",37.59
"13",7,"Low Income",38.78
"14",7,"Entire Sample",38.3
"15",8,"Low Income",37.52
"16",8,"Entire Sample",34.86
"17",9,"Low Income",42.01
"18",9,"Entire Sample",41.1
"19",10,"Low Income",40.87
"20",10,"Entire Sample",35.36
