"","Week","poverty150","problems"
"1",1,"Low Income",37.86
"2",1,"Entire Sample",27.85
"3",2,"Low Income",37.58
"4",2,"Entire Sample",28.02
"5",3,"Low Income",37.3
"6",3,"Entire Sample",28.19
"7",4,"Low Income",37.01
"8",4,"Entire Sample",28.36
"9",5,"Low Income",36.73
"10",5,"Entire Sample",28.54
"11",6,"Low Income",36.45
"12",6,"Entire Sample",28.71
"13",7,"Low Income",35.77
"14",7,"Entire Sample",27.75
"15",8,"Low Income",35.09
"16",8,"Entire Sample",26.8
"17",9,"Low Income",34.42
"18",9,"Entire Sample",25.85
"19",10,"Low Income",33.74
"20",10,"Entire Sample",24.89
