"","Week","poverty150","problems"
"1",1,"Low Income",33.33
"2",1,"Entire Sample",26.97
"3",2,"Low Income",34.86
"4",2,"Entire Sample",28.1
"5",3,"Low Income",37.91
"6",3,"Entire Sample",25.89
"7",4,"Low Income",33.78
"8",4,"Entire Sample",27.16
"9",5,"Low Income",28.86
"10",5,"Entire Sample",25.82
"11",6,"Low Income",33.33
"12",6,"Entire Sample",28.26
"13",7,"Low Income",35.01
"14",7,"Entire Sample",27.48
"15",8,"Low Income",32.98
"16",8,"Entire Sample",25.25
"17",9,"Low Income",33.48
"18",9,"Entire Sample",25.88
"19",10,"Low Income",34.29
"20",10,"Entire Sample",24.78
