"","Week","states_groups","fit"
"1",1,"NY/NJ",40.78
"2",1,"TX/FL/AZ",46.56
"3",2,"NY/NJ",43.94
"4",2,"TX/FL/AZ",46.72
"5",3,"NY/NJ",47.09
"6",3,"TX/FL/AZ",46.89
"7",4,"NY/NJ",46
"8",4,"TX/FL/AZ",46.36
"9",5,"NY/NJ",44.92
"10",5,"TX/FL/AZ",45.82
"11",6,"NY/NJ",43.84
"12",6,"TX/FL/AZ",45.29
"13",7,"NY/NJ",42.75
"14",7,"TX/FL/AZ",44.76
"15",8,"NY/NJ",42.76
"16",8,"TX/FL/AZ",45.02
"17",9,"NY/NJ",42.77
"18",9,"TX/FL/AZ",45.28
"19",10,"NY/NJ",42.78
"20",10,"TX/FL/AZ",45.54
"21",11,"NY/NJ",42.78
"22",11,"TX/FL/AZ",45.8
"23",12,"NY/NJ",42.79
"24",12,"TX/FL/AZ",46.06
"25",13,"NY/NJ",42.8
"26",13,"TX/FL/AZ",46.32
"27",14,"NY/NJ",42.81
"28",14,"TX/FL/AZ",46.58
"29",15,"NY/NJ",42.82
"30",15,"TX/FL/AZ",46.85
"31",16,"NY/NJ",42.82
"32",16,"TX/FL/AZ",47.11
"33",17,"NY/NJ",42.83
"34",17,"TX/FL/AZ",47.37
"35",18,"NY/NJ",42.84
"36",18,"TX/FL/AZ",47.63
"37",19,"NY/NJ",42.85
"38",19,"TX/FL/AZ",47.89
"39",20,"NY/NJ",42.86
"40",20,"TX/FL/AZ",48.15
"41",21,"NY/NJ",42.86
"42",21,"TX/FL/AZ",48.41
"43",22,"NY/NJ",42.87
"44",22,"TX/FL/AZ",48.67
"45",23,"NY/NJ",42.88
"46",23,"TX/FL/AZ",48.93
